	Sequence_1	Sequence_10	Sequence_11	Sequence_12	Sequence_13	Sequence_14	Sequence_15	Sequence_16	Sequence_17	Sequence_18	Sequence_19	Sequence_20	Sequence_21	Sequence_22	Sequence_23	Sequence_24	Sequence_26	Sequence_27	Sequence_28	Sequence_3	Sequence_30	Sequence_31	Sequence_32	Sequence_33	Sequence_34	Sequence_35	Sequence_36	Sequence_37	Sequence_38	Sequence_39	Sequence_4	Sequence_40	Sequence_41	Sequence_42	Sequence_43	Sequence_44	Sequence_45	Sequence_46	Sequence_47	Sequence_48	Sequence_49	Sequence_5	Sequence_50	Sequence_51	Sequence_52	Sequence_53	Sequence_54	Sequence_55	Sequence_56	Sequence_57	Sequence_58	Sequence_59	Sequence_6	Sequence_60	Sequence_61	Sequence_62	Sequence_64	Sequence_65	Sequence_66	Sequence_67	Sequence_68	Sequence_69	Sequence_7	Sequence_70	Sequence_71	Sequence_72	Sequence_73	Sequence_74	Sequence_75	Sequence_76	Sequence_77	Sequence_78	Sequence_79	Sequence_8	Sequence_80	Sequence_81	Sequence_82	Sequence_83	Sequence_84	Sequence_85	Sequence_86	Sequence_87	Sequence_88	Sequence_89	Sequence_9	Sequence_90	Sequence_92	Sequence_93	Sequence_94	Sequence_95	Sequence_96	Sequence_97	Unmapped	contaminant1	contaminant38
Plate1VarioDropA4	103	32	0	8	43	2	1	126	7	0	286	915	3	0	0	0	0	2	0	700	48	0	166	0	50	8	17	0	0	5633	143	44	0	837	0	1	7	0	11	2	11	1	0	471	0	91	0	29	6	1	6	2160	0	1592	0	2	56	17	5	76	16	4	24	11	209	205	9	0	62	197	0	0	913	0	232	121	2873	32	3869	0	115	2115	0	9	77	7	49	2	7	3	3	155	1753	9	2
Plate1VarioDropA5	280	0	5	40	8	0	2	228	0	0	33	615	0	0	0	0	0	0	0	123	39	0	8	0	8	10	0	0	0	4349	45	62	0	123	0	0	0	0	2	0	0	0	0	141	0	23	0	49	0	0	2	2757	0	970	6	0	72	1	1	5	8	8	4	0	158	713	1	1	9	19	0	1	124	0	120	973	2431	3	1906	0	11	1463	0	0	21	0	1	0	0	0	43	176	8081	0	0
Plate1VarioDropA7	559	7	0	680	199	0	3	423	0	0	861	799	0	0	5	0	0	0	0	862	187	0	400	1	239	15	3	0	0	4552	991	1364	0	212	0	0	37	0	21	0	129	0	5	385	18	49	0	180	0	0	2	1732	0	1092	5	2	2016	48	9	57	21	0	7	0	1091	153	1	1	33	538	0	2	752	1	567	473	2152	287	12300	2	146	2069	1	3	324	39	82	2	59	0	3	145	3576	163	25
Plate1VarioDropA9	293	110	4	1641	132	0	13	81	4	0	1111	1134	1	0	4	0	2	0	0	780	63	0	224	0	89	48	22	0	0	3258	597	129	0	269	2	0	9	0	11	0	55	0	3	231	6	135	0	112	0	0	0	1566	0	504	17	0	233	120	6	68	1208	171	9	0	567	40	0	2	50	753	0	2	743	0	520	144	1162	147	5956	1	159	1586	3	12	115	11	173	2	16	0	1	451	1482	13	2
Plate1VarioDropB1	534	5	0	1129	463	0	0	146	4	0	1590	1166	1	0	0	3	0	0	0	365	415	0	134	2	119	64	0	0	0	1007	543	144	0	188	2	2	29	0	18	2	31	0	1	1027	2	41	0	83	0	0	10	1439	1	874	9	5	132	52	2	52	17	25	7	1	516	72	0	0	31	1142	1	1	1791	0	478	339	1674	380	7100	1	260	1726	3	20	112	30	118	1	69	1	0	76	1612	4	11
Plate1VarioDropB12	17	1	0	2	4	0	3	7	0	0	7	75	0	0	0	1	0	0	0	63	46	0	6	4	16	2	3	0	0	405	28	0	0	7	0	0	2	0	1	0	1	0	0	29	0	14	0	2	0	0	0	193	0	189	0	0	8	27	0	5	0	0	0	0	11	73	0	0	2	1	1	0	26	0	13	15	513	0	311	0	4	359	0	2	8	0	75	0	0	0	5	19	639	2	0
Plate1VarioDropB2	328	529	3	127	41	0	0	18	0	0	405	1707	2	0	0	0	0	0	0	299	114	0	100	4	245	21	22	0	0	3833	902	36	0	223	1	0	0	0	5	0	4	0	0	218	0	128	1	300	2	0	7	422	0	108	2	0	176	18	1	42	149	0	2	10	491	97	12	1	16	286	1	1	110	0	27	190	262	255	9127	0	131	608	0	5	77	15	30	19	2	0	0	92	1193	19	1
Plate1VarioDropB8	4	0	0	0	0	0	0	1	0	0	2	31	0	0	0	0	0	0	0	13	0	0	1	0	2	0	0	0	0	49	129	3	0	4	0	0	3	0	0	0	18	0	0	37	0	0	0	2	0	0	0	8	0	7	0	0	10	0	0	2	1	0	0	0	2	0	0	0	0	2	0	0	1	0	151	20	13	1	33	0	4	2	0	0	6	0	1	0	3	0	0	95	37	0	0
Plate1VarioDropC7	27	5	0	15	43	0	1	18	0	0	113	97	0	0	2	0	0	0	0	16	1	0	16	0	4	0	0	0	0	506	70	11	0	33	1	0	0	0	4	1	0	0	3	67	1	3	0	1	0	0	0	163	0	100	0	0	1	10	0	18	3	0	0	0	23	9	0	0	7	89	0	0	98	2	18	24	176	0	777	3	7	154	0	2	19	2	30	0	3	0	0	22	117	0	0
Plate1VarioDropC9	666	427	0	466	38	0	0	8	3	3	1785	633	0	0	6	0	0	0	0	247	0	0	62	0	793	13	86	0	0	8757	338	218	0	414	1	0	0	0	29	0	1	0	7	60	10	83	0	172	0	0	2	1466	0	218	4	2	136	295	13	41	910	61	10	0	861	65	13	0	101	1533	0	1	1088	1	8	169	415	16	4377	8	136	2259	0	0	203	41	262	4	0	0	0	355	1657	59	2
Plate1VarioDropD9	506	2	2	733	10	0	1	28	0	1	143	529	0	0	0	0	0	0	0	369	2	0	15	0	4	9	16	0	0	1941	351	19	0	130	0	0	0	0	1	2	1	0	0	36	0	11	0	23	0	0	0	915	0	2684	3	0	38	19	0	12	107	82	1	1	363	134	0	0	7	125	0	1	105	0	30	322	5025	114	4787	4	10	3353	0	7	4	0	19	0	1	0	11	98	1483	2	0
Plate1VarioDropE11	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	4	0	1	0	6	0	0	0	0	18	6	2	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	8	0	10	0	0	2	7	0	0	0	0	0	0	1	6	0	0	1	1	0	0	4	0	5	0	21	0	14	0	0	12	0	1	1	0	20	0	0	0	0	4	47	0	0
Plate1VarioDropE12	7	3	1	2	3	0	0	3	0	0	6	55	0	0	1	0	0	0	0	63	40	0	3	4	14	2	0	0	0	186	25	2	0	15	0	0	0	0	3	0	2	1	1	28	0	7	0	1	0	0	0	126	0	116	0	0	6	30	1	1	0	3	1	0	4	74	0	0	1	1	0	0	30	0	19	2	398	1	196	0	2	291	0	0	10	0	98	0	0	0	3	13	772	0	1
Plate1VarioDropE4	349	0	8	88	0	0	2	398	0	0	15	173	0	0	0	0	0	0	0	102	13	0	2	0	1	11	0	0	0	6770	125	86	0	295	0	0	0	0	0	0	0	0	1	109	0	26	0	59	0	0	0	8582	0	1355	10	0	82	3	0	4	15	32	2	0	285	1001	0	0	3	6	0	0	20	0	17	771	3504	14	786	0	9	2450	1	0	2	0	6	0	0	0	57	233	10827	0	0
Plate1VarioDropE7	40	10	0	158	89	0	3	7	1	0	142	506	0	0	0	0	0	0	0	272	40	0	352	2	85	3	6	0	0	482	448	91	0	352	2	0	17	0	8	0	114	0	3	523	1	37	0	19	0	0	0	431	0	111	0	0	151	31	4	139	223	5	6	0	90	32	0	1	19	112	0	0	97	0	603	156	297	12	707	0	92	191	0	9	49	0	75	0	74	0	0	999	584	5	0
Plate1VarioDropF2	126	0	4	5	10	0	0	408	0	0	25	2039	0	0	1	0	0	0	0	168	0	0	11	0	131	1	1	0	0	9029	1628	68	0	166	0	0	0	0	5	1	0	0	4	453	0	29	0	92	1	0	1	2787	0	1569	7	0	108	0	3	48	1	2	11	1	61	381	1	0	79	9	0	1	191	1	142	450	3520	2	6071	2	35	933	0	0	65	0	19	0	1	0	16	505	9854	0	0
Plate1VarioDropF5	1053	0	0	81	60	0	0	1141	0	1	157	1051	0	0	0	0	0	0	0	240	158	0	96	0	29	27	0	1	0	4654	175	138	0	332	0	0	4	0	4	0	13	1	2	236	0	44	0	129	0	0	6	9825	0	183	24	1	176	19	3	55	0	6	6	0	611	37	0	0	15	91	0	3	467	2	1205	1881	461	5	1324	0	27	168	0	0	58	1	15	0	5	0	3	190	9983	0	0
Plate1VarioDropF8	787	0	5	14	1	0	0	41	0	0	24	362	0	0	0	0	0	0	0	85	0	0	1	0	7	16	0	0	0	4536	58	55	0	179	0	0	0	0	0	0	0	0	0	140	0	21	0	25	0	0	0	1567	0	1395	15	0	23	2	0	3	3	4	3	0	77	1846	0	0	1	8	0	2	38	0	26	1460	3979	1	6943	0	4	4250	0	0	4	0	5	0	0	0	86	94	9218	0	0
Plate1VarioDropG12	15	1	2	4	1	0	0	0	0	0	8	49	0	0	0	0	0	0	0	34	31	0	0	1	19	2	1	0	0	448	23	3	0	10	0	0	0	0	0	0	2	0	0	20	0	12	0	6	0	0	0	105	1	97	0	0	20	23	1	3	1	1	0	0	13	45	2	0	2	6	0	1	27	0	11	9	287	0	131	0	4	184	0	0	9	0	72	0	0	0	1	185	621	0	2
Plate1VarioDropG2	205	1	5	28	2	0	0	179	0	0	7	136	0	0	0	0	0	0	0	209	6	0	0	0	1	6	0	0	0	1316	73	14	0	93	0	0	0	0	0	0	0	0	0	37	0	7	0	11	0	0	1	4441	0	292	5	0	8	0	0	0	17	6	0	0	27	281	0	1	12	4	0	1	21	0	6	414	773	6	1810	0	5	711	0	0	14	0	3	0	0	0	13	33	5432	0	0
Plate1VarioDropG6	536	81	1	375	30	0	0	143	0	0	524	417	0	0	1	0	0	0	0	916	12	0	62	0	44	3	13	4	0	7542	543	73	0	530	0	0	0	0	102	0	0	0	9	195	13	72	0	141	0	0	0	4774	0	235	7	0	320	90	0	23	561	15	1	0	734	57	1	0	29	324	0	0	382	2	1	201	514	209	7658	4	97	877	1	0	51	24	177	0	0	0	2	329	4126	57	6
Plate1VarioDropG7	314	0	0	174	37	0	3	19	0	0	236	749	0	0	0	0	0	0	0	85	3	0	105	0	63	8	9	0	0	12924	353	30	0	91	0	0	1	0	2	0	5	0	0	41	1	42	0	33	0	0	2	247	0	424	2	6	297	1	0	114	80	0	0	0	933	52	4	1	8	146	0	1	172	0	225	96	752	132	6824	0	34	1863	0	13	76	4	28	1	4	1	0	666	1504	52	1
Plate1VarioDropG8	246	28	0	255	18	0	0	8	4	0	259	429	2	0	0	0	0	0	0	199	0	0	15	0	66	15	29	18	0	2095	110	19	0	130	2	0	0	0	3	0	2	0	0	48	2	20	0	16	0	0	0	1112	0	334	0	0	14	40	1	17	141	11	4	4	191	28	0	0	6	224	0	0	229	0	75	148	712	15	2761	1	40	867	0	18	10	1	36	1	0	0	0	71	471	0	0
Plate1VarioDropH5	6	0	0	48	50	0	0	1321	1	0	523	1153	0	0	1	0	0	0	0	883	243	0	32	0	82	37	3	1	0	4595	197	279	0	184	0	0	1	0	3	0	6	0	0	399	0	67	0	65	0	0	7	3984	0	351	4	4	128	7	4	44	1	3	9	0	606	185	0	2	18	222	0	0	1489	1	1042	1	1049	19	1917	0	32	520	1	0	60	0	10	0	7	0	7	109	12595	0	0
Plate1VarioDropH7	622	5	0	602	285	0	1	487	0	0	761	2803	0	0	1	0	0	0	0	1340	38	0	214	0	151	9	6	0	0	2488	1074	113	0	619	0	0	15	0	21	0	66	0	5	3403	17	69	0	71	0	0	6	1541	0	1884	14	1	614	25	3	88	26	20	2	0	859	81	0	0	65	503	0	3	769	2	311	726	3630	295	10808	6	298	1005	1	10	64	16	88	6	29	0	3	179	3898	130	14
Plate2VarioDropA12	0	0	0	7	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	7	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	2	0	0	0	8	0	0	0	0	1	0	0	3	0	4	2	3	0	12	0	0	1	0	0	0	0	9	0	1	0	0	9	13	0	0
Plate2VarioDropA8	896	561	4	3351	240	0	1	225	1	0	1905	2048	0	0	4	1	0	0	0	2879	108	1	361	0	421	73	89	85	0	4848	980	106	0	461	0	0	0	0	41	0	0	0	12	197	10	328	0	606	0	1	1	11666	0	583	14	0	195	349	28	89	5490	300	23	0	856	100	4	5	505	1246	0	2	1753	1	47	478	1333	701	12593	28	785	1947	3	4	265	48	524	9	0	0	2	262	8205	10	5
Plate2VarioDropB5	39	0	2	15	3	0	1	24	0	0	6	119	0	0	0	0	0	0	0	24	7	0	2	0	4	4	0	0	0	397	5	4	0	27	0	0	0	0	0	0	0	0	0	54	0	8	0	20	0	0	0	831	0	766	0	0	5	2	0	1	11	0	0	0	55	33	0	0	0	6	0	0	31	0	11	161	1024	1	216	0	1	775	0	0	0	0	1	0	0	0	0	24	256	0	0
Plate2VarioDropC10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate2VarioDropC2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
Plate2VarioDropC5	104	0	2	0	6	0	0	106	0	0	91	112	0	0	0	0	0	0	0	56	40	0	9	0	5	13	0	0	0	813	17	30	0	100	0	0	0	0	0	0	0	0	0	25	0	13	0	29	0	0	0	1020	0	209	1	0	11	6	1	2	0	0	0	0	48	51	0	0	5	68	0	0	286	0	102	297	348	0	1147	0	8	262	0	0	15	1	6	0	0	0	1	55	458	0	0
Plate2VarioDropD4	4	5	0	0	3	0	0	6	0	0	23	15	0	0	0	0	0	0	0	5	2	0	12	0	0	1	1	0	0	190	8	3	0	27	0	0	0	0	3	0	0	0	0	9	0	7	0	1	0	0	0	26	0	4	0	0	2	2	0	12	5	0	0	0	9	3	2	0	0	20	0	0	32	0	3	6	11	3	44	0	8	28	0	0	1	1	1	1	0	0	0	6	72	0	0
Plate2VarioDropD5	61	5	0	446	86	0	2	29	0	1	299	850	0	0	0	0	0	0	0	46	33	0	132	0	57	1	5	0	1	3343	84	6	0	92	0	0	0	0	0	0	8	0	0	70	0	53	0	49	0	0	0	333	0	141	0	0	69	21	1	126	188	10	3	0	219	11	1	0	37	212	0	0	407	0	45	159	241	7	1127	0	151	297	0	0	135	3	91	1	2	0	0	148	643	3	1
Plate2VarioDropD9	1386	95	1	701	94	0	1	324	0	0	965	2401	0	0	2	0	0	0	0	1082	85	0	115	0	317	16	22	0	0	7549	841	141	0	387	0	0	0	0	25	1	0	0	11	2193	7	159	0	458	0	0	5	1933	0	605	10	3	1567	36	8	162	579	1	17	1	1329	77	10	0	60	804	0	3	761	0	28	288	1027	219	26723	4	202	1059	1	0	487	26	95	12	1	0	0	488	3407	114	16
Plate2VarioDropE11	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	7	0	0
Plate2VarioDropE4	101	0	5	6	0	0	1	9	0	0	8	73	0	0	0	0	0	0	0	7	0	0	1	0	1	8	0	0	0	1004	10	6	0	30	0	0	0	0	0	0	0	0	0	56	0	3	0	8	0	0	0	549	0	1096	2	0	3	2	0	1	3	1	1	0	71	740	0	0	0	6	0	0	27	0	6	253	2420	1	715	0	1	5751	0	0	1	0	1	0	0	0	24	21	1265	0	0
Plate2VarioDropE5	215	2	5	29	257	0	1	101	3	0	458	6357	0	0	9	0	0	0	0	77	0	2	232	1	552	3	8	0	0	20799	1342	42	0	274	0	0	0	0	50	1	0	0	29	597	10	215	0	352	0	0	0	2147	0	795	6	0	115	74	10	474	6	5	38	0	690	135	0	0	230	326	0	0	5438	15	283	997	1274	1	3551	27	629	157	1	0	966	26	843	0	0	0	1	698	3399	0	0
Plate2VarioDropE7	567	40	0	3419	264	0	2	151	0	0	1846	1507	0	0	4	0	0	0	0	490	232	0	341	0	283	15	42	0	0	5669	634	52	0	648	0	0	0	0	48	0	0	0	14	78	12	189	0	276	0	0	0	1708	0	992	2	1	622	246	3	114	3425	346	14	0	1383	117	5	2	123	1460	0	0	1120	4	38	516	1712	253	4741	20	275	2830	3	0	297	32	296	0	0	0	1	172	2175	4	1
Plate2VarioDropE8	61	5	0	339	6	0	1	0	0	0	274	155	0	0	0	0	0	0	0	55	0	0	28	0	23	1	35	0	0	1216	51	2	0	54	0	0	0	0	4	0	1	0	1	2	2	9	0	4	0	0	0	699	0	24	1	0	13	33	0	2	158	3	3	0	231	1	0	0	19	285	0	0	139	0	6	41	31	6	182	0	26	79	0	0	21	1	33	0	0	0	0	43	206	12	0
Plate2VarioDropF1	1239	1	0	165	170	0	0	442	0	0	517	757	0	0	3	0	0	0	0	247	134	0	64	0	78	18	9	0	0	2505	367	118	0	276	0	0	6	0	20	0	5	0	2	470	2	48	0	161	1	0	16	8678	0	1486	23	3	131	41	6	114	4	3	9	0	528	476	0	3	11	242	0	1	2176	0	2077	2913	3973	40	5241	2	45	710	1	0	26	4	76	0	8	0	24	113	21096	0	0
Plate2VarioDropF7	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0
Plate2VarioDropF9	8	0	0	0	0	0	0	7	0	0	9	17	0	0	0	0	0	0	0	6	5	0	0	0	0	1	0	0	0	78	0	2	0	9	0	0	0	0	0	0	0	0	0	4	0	3	0	2	0	0	0	151	0	58	0	0	0	1	0	1	0	0	0	0	5	8	0	0	0	2	0	0	37	0	19	49	85	0	95	0	2	31	0	0	1	0	0	0	0	0	0	9	48	0	0
Plate2VarioDropG7	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Plate2VarioDropH6	1048	268	20	1032	64	0	1	10	4	0	443	1657	0	0	3	0	0	0	0	1447	4	0	82	0	523	115	50	0	0	11681	2536	15	1	262	4	0	0	0	11	2	0	0	9	424	1	162	0	73	0	0	78	1860	0	916	6	44	516	68	9	7	138	0	22	0	826	138	12	1	99	273	0	0	325	0	75	313	2168	127	16844	2	226	4694	0	0	66	12	60	1	1	0	3	1113	3557	32	6
Plate3VarioDropA1	252	35	5	1093	301	0	0	896	0	0	314	2609	0	0	6	0	0	0	0	2078	81	1	251	0	162	75	71	0	0	1529	752	122	0	436	0	0	0	0	7	0	2	0	6	59	11	65	0	61	0	0	0	2839	0	141	4	0	544	106	43	74	2487	60	8	0	408	140	5	4	75	158	0	1	32	0	226	209	409	505	6645	6	261	1649	0	0	763	8	674	0	1	0	5	178	6869	9	10
Plate3VarioDropB1	28	1	29	65	11	0	40	4891	1	0	7	425	0	0	4	0	0	0	0	1448	117	0	9	0	3	13	1	0	0	1115	574	99	0	241	0	0	14	0	5	1	13	1	2	22	0	67	0	59	1	0	0	6025	0	67	0	0	97	1	0	8	218	2	7	0	122	189	0	0	8	4	0	0	6	0	1565	115	204	44	667	0	17	394	0	0	32	0	12	0	48	1	2	473	10350	0	0
Plate3VarioDropB11	0	0	0	2	1	0	0	1	0	0	0	5	0	0	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	2	9	0	0	2	0	0	0	0	0	0	3	0	0	15	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	3	12	0	0
Plate3VarioDropB12	312	28	0	247	64	0	11	40	7	0	247	1436	0	0	1	0	0	0	0	1163	21	0	74	0	146	7	62	0	0	5430	424	41	0	441	5	2	2	0	1	0	6	0	1	243	1	24	0	17	0	0	1	3006	1	249	0	1	163	48	16	99	152	0	9	0	442	156	5	1	74	133	2	1	19	0	49	128	713	34	6512	0	106	2106	0	0	205	5	373	0	3	0	11	1112	4362	82	7
Plate3VarioDropB4	316	13	0	1	229	0	43	19	0	0	1191	2476	0	0	4	0	0	0	0	69	103	0	195	0	119	1	10	0	0	4695	857	67	0	149	0	0	21	0	11	1	417	0	3	210	3	12	0	110	0	0	0	1682	0	18	1	0	1437	126	51	221	2	0	37	0	76	20	1	0	50	729	0	0	233	0	3331	134	27	102	180	0	326	24	0	0	1159	15	944	0	154	0	0	690	3349	51	5
Plate3VarioDropB6	141	12	0	0	188	0	0	209	0	0	9	724	0	0	0	0	0	0	0	97	49	0	333	0	32	0	6	0	1	3935	1429	85	0	237	0	0	2	0	1	0	69	0	0	608	0	12	0	12	0	0	2	175	0	186	2	1	2547	3	0	296	5	1	1	0	42	31	0	0	1	12	0	0	0	0	358	5	217	14	1657	0	60	970	0	0	21	0	76	0	18	0	0	291	813	19	0
Plate3VarioDropC1	150	0	14	33	12	0	17	246	0	0	16	1419	0	0	0	0	0	0	0	896	7	0	7	0	3	17	4	0	0	1379	232	55	0	256	0	0	1	0	0	0	3	0	0	58	1	14	0	14	0	0	0	5341	0	239	2	0	54	14	1	8	73	3	4	0	54	871	0	0	1	13	0	0	3	0	100	581	825	1	5566	0	13	1621	0	0	13	0	44	0	0	0	23	153	10121	0	0
Plate3VarioDropC2	10	6	0	65	20	0	0	0	0	0	78	95	0	0	0	0	0	0	0	25	0	0	12	0	33	0	27	0	0	228	76	1	0	12	1	0	0	0	1	0	1	0	1	4	1	3	0	2	0	0	0	34	0	11	0	0	23	15	0	8	42	0	0	0	137	5	0	1	16	71	0	0	6	0	45	0	8	36	26	0	10	57	0	0	28	1	34	0	0	0	0	58	62	0	0
