Strain	Treatment	Length	Experiment
NB	IAA_100nM	2.418876033	Hormones
NB	IAA_100nM	2.513264463	Hormones
NB	IAA_100nM	2.516305785	Hormones
NB	IAA_100nM	2.529950413	Hormones
NB	IAA_100nM	2.644628099	Hormones
NB	IAA_100nM	2.880396694	Hormones
NB	IAA_100nM	3.250446281	Hormones
YR216	IAA_100nM	1.443231405	Hormones
YR216	IAA_100nM	1.556181818	Hormones
YR216	IAA_100nM	2.998619835	Hormones
YR216	IAA_100nM	3.737289256	Hormones
YR216	IAA_100nM	3.938884298	Hormones
YR216	IAA_100nM	4.581826446	Hormones
YR216	IAA_100nM	5.293595041	Hormones
YR216	IAA_100nM	5.391264463	Hormones
YR216	IAA_100nM	5.396636364	Hormones
YR216	IAA_100nM	5.749884298	Hormones
YR216	IAA_100nM	5.77377686	Hormones
YR216	IAA_100nM	5.788239669	Hormones
YR216	IAA_100nM	5.921322314	Hormones
YR216	IAA_100nM	6.199561983	Hormones
YR216	IAA_100nM	6.28177686	Hormones
YR216	IAA_100nM	6.298016529	Hormones
YR216	IAA_100nM	6.321661157	Hormones
YR216	IAA_100nM	6.398975207	Hormones
YR216	IAA_100nM	6.612892562	Hormones
YR216	IAA_100nM	6.704305785	Hormones
YR216	IAA_100nM	6.75546281	Hormones
YR216	IAA_100nM	6.780809917	Hormones
YR216	IAA_100nM	6.940652893	Hormones
YR216	IAA_100nM	6.984917355	Hormones
B4	NB	5.760991736	Hormones
B4	NB	6.016892562	Hormones
B4	NB	6.258504132	Hormones
B4	NB	6.293504132	Hormones
B4	NB	6.312322314	Hormones
B4	NB	6.582578512	Hormones
B4	NB	6.645942149	Hormones
B4	NB	6.68431405	Hormones
B4	NB	6.68431405	Hormones
B4	NB	6.711066116	Hormones
B4	NB	6.74007438	Hormones
B4	NB	6.81	Hormones
B4	NB	6.85861157	Hormones
B4	NB	6.876347107	Hormones
B4	NB	6.896347107	Hormones
B4	NB	6.918652893	Hormones
B4	NB	6.975280992	Hormones
B4	NB	7.054966942	Hormones
B4	NB	7.061157025	Hormones
B4	NB	7.241553719	Hormones
B4	NB	7.291933884	Hormones
B4	NB	7.306983471	Hormones
B4	NB	7.343603306	Hormones
B4	NB	7.349256198	Hormones
B4	NB	7.448586777	Hormones
B4	NB	7.479917355	Hormones
B4	NB	7.63814876	Hormones
B4	NB	7.674123967	Hormones
B4	NB	8.107330579	Hormones
CL11	NB	4.830520661	Hormones
CL11	NB	5.26461157	Hormones
CL11	NB	5.355165289	Hormones
CL11	NB	5.703793388	Hormones
CL11	NB	5.837024793	Hormones
CL11	NB	5.896636364	Hormones
CL11	NB	6.032495868	Hormones
CL11	NB	6.082107438	Hormones
CL11	NB	6.103181818	Hormones
CL11	NB	6.218132231	Hormones
CL11	NB	6.321057851	Hormones
CL11	NB	6.405041322	Hormones
CL11	NB	6.432363636	Hormones
CL11	NB	6.447214876	Hormones
CL11	NB	6.522123967	Hormones
CL11	NB	6.527231405	Hormones
CL11	NB	6.589471074	Hormones
CL11	NB	6.611652893	Hormones
CL11	NB	6.663024793	Hormones
CL11	NB	6.705123967	Hormones
CL11	NB	6.718231405	Hormones
CL11	NB	6.802933884	Hormones
CL11	NB	6.896743802	Hormones
CL11	NB	6.972702479	Hormones
CL11	NB	6.983661157	Hormones
CL11	NB	7.083719008	Hormones
CL11	NB	7.240347107	Hormones
CL11	NB	7.293735537	Hormones
CL11	NB	7.338694215	Hormones
CL14	NB	4.722760331	Hormones
CL14	NB	5.109553719	Hormones
CL14	NB	5.669206612	Hormones
CL14	NB	5.687677686	Hormones
CL14	NB	6.043710744	Hormones
CL14	NB	6.126768595	Hormones
CL14	NB	6.248024793	Hormones
CL14	NB	6.309115702	Hormones
CL14	NB	6.316123967	Hormones
CL14	NB	6.59377686	Hormones
CL14	NB	6.762330579	Hormones
CL14	NB	6.778876033	Hormones
CL14	NB	6.827305785	Hormones
CL14	NB	6.831471074	Hormones
CL14	NB	6.912173554	Hormones
CL14	NB	6.924256198	Hormones
CL14	NB	6.991479339	Hormones
CL14	NB	7.07468595	Hormones
CL14	NB	7.077157025	Hormones
CL14	NB	7.097669421	Hormones
CL14	NB	7.141181818	Hormones
CL14	NB	7.235966942	Hormones
CL14	NB	7.294479339	Hormones
CL14	NB	7.505297521	Hormones
CL14	NB	7.520132231	Hormones
CL14	NB	7.638008264	Hormones
CL14	NB	7.918512397	Hormones
CL14	NB	8.027272727	Hormones
MF160	NB	5.424008264	Hormones
MF160	NB	5.522247934	Hormones
MF160	NB	5.62022314	Hormones
MF160	NB	5.707528926	Hormones
MF160	NB	5.867	Hormones
MF160	NB	6.161545455	Hormones
MF160	NB	6.18261157	Hormones
MF160	NB	6.219181818	Hormones
MF160	NB	6.491471074	Hormones
MF160	NB	6.51314876	Hormones
MF160	NB	6.517760331	Hormones
MF160	NB	6.529487603	Hormones
MF160	NB	6.581504132	Hormones
MF160	NB	6.769842975	Hormones
MF160	NB	6.889446281	Hormones
MF160	NB	6.920471074	Hormones
MF160	NB	7.180859504	Hormones
MF160	NB	7.210322314	Hormones
MF160	NB	7.239975207	Hormones
MF160	NB	7.320429752	Hormones
MF160	NB	7.411008264	Hormones
MF160	NB	7.43985124	Hormones
MF160	NB	7.475752066	Hormones
MF160	NB	7.51838843	Hormones
MF160	NB	7.522099174	Hormones
MF160	NB	7.540743802	Hormones
MF160	NB	7.805082645	Hormones
MF160	NB	8.044545455	Hormones
NB	NB	4.961876033	Hormones
NB	NB	5.007471074	Hormones
NB	NB	5.01107438	Hormones
NB	NB	5.157553719	Hormones
NB	NB	5.177752066	Hormones
NB	NB	5.239438017	Hormones
NB	NB	5.461652893	Hormones
NB	NB	5.674115702	Hormones
NB	NB	5.933214876	Hormones
NB	NB	6.064380165	Hormones
NB	NB	6.256669421	Hormones
NB	NB	6.288033058	Hormones
NB	NB	6.314132231	Hormones
NB	NB	6.457884298	Hormones
NB	NB	6.560545455	Hormones
NB	NB	6.608429752	Hormones
NB	NB	6.635743802	Hormones
NB	NB	6.644628099	Hormones
NB	NB	6.652842975	Hormones
NB	NB	6.695826446	Hormones
NB	NB	6.807347107	Hormones
NB	NB	6.866016529	Hormones
NB	NB	6.892702479	Hormones
NB	NB	7.070520661	Hormones
NB	NB	7.07322314	Hormones
NB	NB	7.086190083	Hormones
NB	NB	7.102206612	Hormones
NB	NB	7.247214876	Hormones
NB	NB	7.436545455	Hormones
NB	NB	7.878181818	Hormones
YR216	NB	3.471702479	Hormones
YR216	NB	3.891570248	Hormones
YR216	NB	4.096239669	Hormones
YR216	NB	4.249958678	Hormones
YR216	NB	4.332595041	Hormones
YR216	NB	4.335115702	Hormones
YR216	NB	4.464768595	Hormones
YR216	NB	4.477603306	Hormones
YR216	NB	4.661628099	Hormones
YR216	NB	4.694677686	Hormones
YR216	NB	4.782892562	Hormones
YR216	NB	4.826561983	Hormones
YR216	NB	4.965727273	Hormones
YR216	NB	5.091876033	Hormones
YR216	NB	5.290181818	Hormones
YR216	NB	5.45814876	Hormones
YR216	NB	5.494471074	Hormones
YR216	NB	5.495661157	Hormones
YR216	NB	5.611760331	Hormones
YR216	NB	5.749884298	Hormones
YR216	NB	5.759752066	Hormones
YR216	NB	6.049677686	Hormones
YR216	NB	6.423520661	Hormones
YR216	NB	6.947181818	Hormones
YR216	NB	7.046289256	Hormones
YR216	NB	7.107438017	Hormones
YR216	NB	7.243363636	Hormones
YR216	NB	7.272801653	Hormones
YR216	NB	7.283016529	Hormones
YR216	NB	7.405033058	Hormones
YR216	NB	7.415578512	Hormones
B4	Zeatin_100nM	1.556884298	Hormones
B4	Zeatin_100nM	1.757049587	Hormones
B4	Zeatin_100nM	1.785429752	Hormones
B4	Zeatin_100nM	1.893264463	Hormones
B4	Zeatin_100nM	1.993363636	Hormones
B4	Zeatin_100nM	2.049586777	Hormones
B4	Zeatin_100nM	2.081595041	Hormones
B4	Zeatin_100nM	2.082644628	Hormones
B4	Zeatin_100nM	2.128322314	Hormones
B4	Zeatin_100nM	2.144942149	Hormones
B4	Zeatin_100nM	2.383834711	Hormones
B4	Zeatin_100nM	2.508917355	Hormones
B4	Zeatin_100nM	2.829297521	Hormones
B4	Zeatin_100nM	2.997347107	Hormones
B4	Zeatin_100nM	3.217330579	Hormones
B4	Zeatin_100nM	3.239834711	Hormones
B4	Zeatin_100nM	3.476735537	Hormones
B4	Zeatin_100nM	3.607090909	Hormones
B4	Zeatin_100nM	3.801793388	Hormones
B4	Zeatin_100nM	3.83485124	Hormones
B4	Zeatin_100nM	3.876801653	Hormones
B4	Zeatin_100nM	4.199520661	Hormones
B4	Zeatin_100nM	4.212380165	Hormones
B4	Zeatin_100nM	4.573942149	Hormones
B4	Zeatin_100nM	5.059900826	Hormones
B4	Zeatin_100nM	5.085429752	Hormones
B4	Zeatin_100nM	5.323958678	Hormones
B4	Zeatin_100nM	5.987033058	Hormones
B4	Zeatin_100nM	6.353735537	Hormones
CL11	Zeatin_100nM	1.970760331	Hormones
CL11	Zeatin_100nM	2.240628099	Hormones
CL11	Zeatin_100nM	2.365429752	Hormones
CL11	Zeatin_100nM	2.470504132	Hormones
CL11	Zeatin_100nM	2.538578512	Hormones
CL11	Zeatin_100nM	2.583801653	Hormones
CL11	Zeatin_100nM	2.632198347	Hormones
CL11	Zeatin_100nM	2.686041322	Hormones
CL11	Zeatin_100nM	2.72	Hormones
CL11	Zeatin_100nM	2.789421488	Hormones
CL11	Zeatin_100nM	2.819429752	Hormones
CL11	Zeatin_100nM	2.83392562	Hormones
CL11	Zeatin_100nM	2.870520661	Hormones
CL11	Zeatin_100nM	2.934520661	Hormones
CL11	Zeatin_100nM	2.960661157	Hormones
CL11	Zeatin_100nM	2.968768595	Hormones
CL11	Zeatin_100nM	2.979793388	Hormones
CL11	Zeatin_100nM	2.98931405	Hormones
CL11	Zeatin_100nM	3.052801653	Hormones
CL11	Zeatin_100nM	3.092099174	Hormones
CL11	Zeatin_100nM	3.159231405	Hormones
CL11	Zeatin_100nM	3.187471074	Hormones
CL11	Zeatin_100nM	3.313876033	Hormones
CL11	Zeatin_100nM	3.373355372	Hormones
CL11	Zeatin_100nM	3.417132231	Hormones
CL11	Zeatin_100nM	3.48677686	Hormones
CL11	Zeatin_100nM	3.504752066	Hormones
CL11	Zeatin_100nM	3.567338843	Hormones
CL11	Zeatin_100nM	3.847231405	Hormones
CL11	Zeatin_100nM	4.129057851	Hormones
CL14	Zeatin_100nM	1.394710744	Hormones
CL14	Zeatin_100nM	1.48907438	Hormones
CL14	Zeatin_100nM	1.49931405	Hormones
CL14	Zeatin_100nM	1.547727273	Hormones
CL14	Zeatin_100nM	1.78022314	Hormones
CL14	Zeatin_100nM	1.785123967	Hormones
CL14	Zeatin_100nM	1.888933884	Hormones
CL14	Zeatin_100nM	2.182066116	Hormones
CL14	Zeatin_100nM	2.202008264	Hormones
CL14	Zeatin_100nM	2.206719008	Hormones
CL14	Zeatin_100nM	2.221033058	Hormones
CL14	Zeatin_100nM	2.23061157	Hormones
CL14	Zeatin_100nM	2.263438017	Hormones
CL14	Zeatin_100nM	2.355471074	Hormones
CL14	Zeatin_100nM	2.373041322	Hormones
CL14	Zeatin_100nM	2.677892562	Hormones
CL14	Zeatin_100nM	2.679520661	Hormones
CL14	Zeatin_100nM	2.685024793	Hormones
CL14	Zeatin_100nM	2.710942149	Hormones
CL14	Zeatin_100nM	2.727024793	Hormones
CL14	Zeatin_100nM	2.743801653	Hormones
CL14	Zeatin_100nM	3.088743802	Hormones
CL14	Zeatin_100nM	3.119545455	Hormones
CL14	Zeatin_100nM	3.144669421	Hormones
CL14	Zeatin_100nM	3.165454545	Hormones
CL14	Zeatin_100nM	3.511140496	Hormones
CL14	Zeatin_100nM	3.847512397	Hormones
CL14	Zeatin_100nM	3.876801653	Hormones
CL14	Zeatin_100nM	3.924429752	Hormones
CL14	Zeatin_100nM	4.512	Hormones
MF160	Zeatin_100nM	1.157495868	Hormones
MF160	Zeatin_100nM	1.58677686	Hormones
MF160	Zeatin_100nM	1.688867769	Hormones
MF160	Zeatin_100nM	2.033793388	Hormones
MF160	Zeatin_100nM	2.39777686	Hormones
MF160	Zeatin_100nM	2.666231405	Hormones
MF160	Zeatin_100nM	2.98931405	Hormones
MF160	Zeatin_100nM	3.209338843	Hormones
MF160	Zeatin_100nM	3.210867769	Hormones
MF160	Zeatin_100nM	3.636966942	Hormones
MF160	Zeatin_100nM	3.654504132	Hormones
MF160	Zeatin_100nM	3.706165289	Hormones
MF160	Zeatin_100nM	3.740801653	Hormones
MF160	Zeatin_100nM	3.754214876	Hormones
MF160	Zeatin_100nM	3.770917355	Hormones
MF160	Zeatin_100nM	3.838272727	Hormones
MF160	Zeatin_100nM	3.989057851	Hormones
MF160	Zeatin_100nM	4.000140496	Hormones
MF160	Zeatin_100nM	4.016495868	Hormones
MF160	Zeatin_100nM	4.085421488	Hormones
MF160	Zeatin_100nM	4.098371901	Hormones
MF160	Zeatin_100nM	4.16292562	Hormones
MF160	Zeatin_100nM	4.203033058	Hormones
MF160	Zeatin_100nM	4.470636364	Hormones
MF160	Zeatin_100nM	5.031752066	Hormones
MF160	Zeatin_100nM	5.049305785	Hormones
NB	Zeatin_100nM	0.449636364	Hormones
NB	Zeatin_100nM	0.78577686	Hormones
NB	Zeatin_100nM	1.412231405	Hormones
NB	Zeatin_100nM	1.688867769	Hormones
NB	Zeatin_100nM	1.699826446	Hormones
NB	Zeatin_100nM	1.83285124	Hormones
NB	Zeatin_100nM	1.842363636	Hormones
NB	Zeatin_100nM	1.853892562	Hormones
NB	Zeatin_100nM	1.965760331	Hormones
NB	Zeatin_100nM	1.998016529	Hormones
NB	Zeatin_100nM	2.215859504	Hormones
NB	Zeatin_100nM	2.244528926	Hormones
NB	Zeatin_100nM	2.365892562	Hormones
NB	Zeatin_100nM	2.484842975	Hormones
NB	Zeatin_100nM	2.595619835	Hormones
NB	Zeatin_100nM	2.649785124	Hormones
NB	Zeatin_100nM	2.786487603	Hormones
NB	Zeatin_100nM	2.812834711	Hormones
NB	Zeatin_100nM	2.942892562	Hormones
NB	Zeatin_100nM	2.983644628	Hormones
NB	Zeatin_100nM	2.990958678	Hormones
NB	Zeatin_100nM	3.146752066	Hormones
NB	Zeatin_100nM	3.21546281	Hormones
NB	Zeatin_100nM	3.241190083	Hormones
NB	Zeatin_100nM	3.303471074	Hormones
NB	Zeatin_100nM	3.405603306	Hormones
NB	Zeatin_100nM	3.490066116	Hormones
NB	Zeatin_100nM	4.04577686	Hormones
NB	Zeatin_100nM	4.389231405	Hormones
YR216	Zeatin_100nM	1.317347107	Hormones
YR216	Zeatin_100nM	1.337107438	Hormones
YR216	Zeatin_100nM	1.667702479	Hormones
YR216	Zeatin_100nM	1.897016529	Hormones
YR216	Zeatin_100nM	2.016528926	Hormones
YR216	Zeatin_100nM	2.075024793	Hormones
YR216	Zeatin_100nM	2.161694215	Hormones
YR216	Zeatin_100nM	2.18407438	Hormones
YR216	Zeatin_100nM	2.23061157	Hormones
YR216	Zeatin_100nM	2.238677686	Hormones
YR216	Zeatin_100nM	2.283628099	Hormones
YR216	Zeatin_100nM	2.317115702	Hormones
YR216	Zeatin_100nM	2.34314876	Hormones
YR216	Zeatin_100nM	2.416842975	Hormones
YR216	Zeatin_100nM	2.487256198	Hormones
YR216	Zeatin_100nM	2.565975207	Hormones
YR216	Zeatin_100nM	2.566834711	Hormones
YR216	Zeatin_100nM	2.597933884	Hormones
YR216	Zeatin_100nM	2.619090909	Hormones
YR216	Zeatin_100nM	2.669512397	Hormones
YR216	Zeatin_100nM	2.685024793	Hormones
YR216	Zeatin_100nM	2.720603306	Hormones
YR216	Zeatin_100nM	2.780793388	Hormones
YR216	Zeatin_100nM	2.844702479	Hormones
YR216	Zeatin_100nM	2.990958678	Hormones
YR216	Zeatin_100nM	3.107438017	Hormones
YR216	Zeatin_100nM	3.313876033	Hormones
YR216	Zeatin_100nM	3.324900826	Hormones
B4	NB	2.578512397	Hormones
B4	NB	3.881867769	Hormones
B4	NB	4.102504132	Hormones
B4	NB	5.091016529	Hormones
B4	NB	5.454942149	Hormones
B4	NB	5.555289256	Hormones
B4	NB	5.594694215	Hormones
B4	NB	5.652892562	Hormones
B4	NB	5.789652893	Hormones
B4	NB	5.792768595	Hormones
B4	NB	5.924826446	Hormones
B4	NB	6.006801653	Hormones
B4	NB	6.369107438	Hormones
B4	NB	6.429900826	Hormones
B4	NB	6.512396694	Hormones
B4	NB	6.613636364	Hormones
B4	NB	6.812322314	Hormones
B4	NB	6.997809917	Hormones
B4	CL28	0.562958678	RNADuo
B4	CL28	0.595958678	RNADuo
B4	CL28	0.701264463	RNADuo
B4	CL28	0.730272727	RNADuo
B4	CL28	0.778090909	RNADuo
B4	CL28	0.794768595	RNADuo
B4	CL28	0.796140496	RNADuo
B4	CL28	0.842809917	RNADuo
B4	CL28	0.972826446	RNADuo
B4	CL28	1.289256198	RNADuo
B4	CL28	1.484661157	RNADuo
B4	CL28	1.818479339	RNADuo
B4	CL28	2.152826446	RNADuo
B4	CL28	2.272107438	RNADuo
B4	CL28	2.281231405	RNADuo
B4	CL28	2.61177686	RNADuo
B4	CL28	2.702264463	RNADuo
B4	CL28	2.744595041	RNADuo
B4	CL28	4.668652893	RNADuo
B4	CL28	5.703793388	RNADuo
CL11	CL28	0.418735537	RNADuo
CL11	CL28	0.815206612	RNADuo
CL11	CL28	1.223586777	RNADuo
CL11	CL28	1.272	RNADuo
CL11	CL28	1.290950413	RNADuo
CL11	CL28	1.304421488	RNADuo
CL11	CL28	1.537809917	RNADuo
CL11	CL28	1.581950413	RNADuo
CL11	CL28	1.612586777	RNADuo
CL11	CL28	1.974942149	RNADuo
CL11	CL28	2.057330579	RNADuo
CL11	CL28	2.116165289	RNADuo
CL11	CL28	2.231231405	RNADuo
CL11	CL28	2.239413223	RNADuo
CL11	CL28	2.347801653	RNADuo
CL11	CL28	2.416719008	RNADuo
CL11	CL28	2.912702479	RNADuo
CL14	CL28	0.641867769	RNADuo
CL14	CL28	0.727272727	RNADuo
CL14	CL28	0.860140496	RNADuo
CL14	CL28	0.860140496	RNADuo
CL14	CL28	0.960958678	RNADuo
CL14	CL28	1.05785124	RNADuo
CL14	CL28	1.223140496	RNADuo
CL14	CL28	1.256198347	RNADuo
CL14	CL28	1.526396694	RNADuo
CL14	CL28	1.622867769	RNADuo
CL14	CL28	1.851239669	RNADuo
CL14	CL28	1.952933884	RNADuo
CL14	CL28	2.026256198	RNADuo
CL14	CL28	2.23061157	RNADuo
CL14	CL28	2.46053719	RNADuo
CL14	CL28	2.753545455	RNADuo
CL14	CL28	3.73685124	RNADuo
CL14	CL28	3.772214876	RNADuo
CL14	CL28	3.86253719	RNADuo
CL14	CL28	3.968181818	RNADuo
CL14	CL28	4.009826446	RNADuo
CL14	CL28	4.013636364	RNADuo
CL14	CL28	4.068264463	RNADuo
CL14	CL28	4.312876033	RNADuo
CL14	CL28	4.317818182	RNADuo
CL14	CL28	4.865008264	RNADuo
CL14	CL28	4.875669421	RNADuo
CL14	CL28	5.138024793	RNADuo
CL14	CL28	5.356289256	RNADuo
CL14	CL28	5.504404959	RNADuo
CL14	CL28	5.56561157	RNADuo
CL14	CL28	5.818272727	RNADuo
CL14	CL28	6.270280992	RNADuo
MF160	CL28	0.627719008	RNADuo
MF160	CL28	1.022256198	RNADuo
MF160	CL28	2.058446281	RNADuo
MF160	CL28	2.210090909	RNADuo
MF160	CL28	3.770636364	RNADuo
MF160	CL28	4.166471074	RNADuo
MF160	CL28	4.389760331	RNADuo
MF160	CL28	4.423239669	RNADuo
MF160	CL28	4.629	RNADuo
MF160	CL28	4.916661157	RNADuo
MF160	CL28	4.934446281	RNADuo
MF160	CL28	4.941413223	RNADuo
MF160	CL28	5.295578512	RNADuo
MF160	CL28	5.330057851	RNADuo
MF160	CL28	5.765727273	RNADuo
MF160	CL28	5.792636364	RNADuo
MF160	CL28	6.203752066	RNADuo
MF160	CL28	6.399628099	RNADuo
NB	CL28	0.495867769	RNADuo
NB	CL28	0.498958678	RNADuo
NB	CL28	0.637438017	RNADuo
NB	CL28	0.648909091	RNADuo
NB	CL28	0.669884298	RNADuo
NB	CL28	0.674454545	RNADuo
NB	CL28	0.694661157	RNADuo
NB	CL28	0.694661157	RNADuo
NB	CL28	0.701264463	RNADuo
NB	CL28	0.787942149	RNADuo
NB	CL28	0.864933884	RNADuo
NB	CL28	0.925694215	RNADuo
NB	CL28	1.113768595	RNADuo
NB	CL28	1.124479339	RNADuo
NB	CL28	1.140495868	RNADuo
NB	CL28	1.164231405	RNADuo
NB	CL28	1.304421488	RNADuo
NB	CL28	1.463652893	RNADuo
NB	CL28	1.468471074	RNADuo
NB	CL28	1.482016529	RNADuo
NB	CL28	1.517471074	RNADuo
NB	CL28	1.811950413	RNADuo
NB	CL28	2.12992562	RNADuo
NB	CL28	2.248909091	RNADuo
NB	CL28	2.418082645	RNADuo
NB	CL28	2.787909091	RNADuo
NB	CL28	3.47107438	RNADuo
NB	CL28	3.47107438	RNADuo
NB	CL28	3.570404959	RNADuo
NB	CL28	3.638768595	RNADuo
NB	CL28	3.682652893	RNADuo
NB	CL28	3.799495868	RNADuo
NB	CL28	3.947752066	RNADuo
NB	CL28	4.055892562	RNADuo
NB	CL28	4.142793388	RNADuo
NB	CL28	4.165942149	RNADuo
NB	CL28	4.277768595	RNADuo
NB	CL28	4.508008264	RNADuo
NB	CL28	4.54638843	RNADuo
NB	CL28	4.600628099	RNADuo
