Strain	Treatment	Length	Experiment
NB	CL28	4.625380165	RNADuo
NB	CL28	4.694330579	RNADuo
NB	CL28	4.80261157	RNADuo
NB	CL28	4.974297521	RNADuo
NB	CL28	5.016305785	RNADuo
NB	CL28	5.21277686	RNADuo
YR216	CL28	0.607760331	RNADuo
YR216	CL28	1.194661157	RNADuo
YR216	CL28	1.358991736	RNADuo
YR216	CL28	1.621181818	RNADuo
YR216	CL28	1.917355372	RNADuo
YR216	CL28	1.954892562	RNADuo
YR216	CL28	2.289603306	RNADuo
YR216	CL28	2.309793388	RNADuo
YR216	CL28	2.415256198	RNADuo
YR216	CL28	2.775280992	RNADuo
YR216	CL28	3.460826446	RNADuo
YR216	CL28	3.489132231	RNADuo
YR216	CL28	3.773231405	RNADuo
YR216	CL28	3.942760331	RNADuo
YR216	CL28	4.599322314	RNADuo
YR216	CL28	4.668652893	RNADuo
YR216	CL28	5.315735537	RNADuo
YR216	CL28	5.45053719	RNADuo
YR216	CL28	5.712123967	RNADuo
YR216	CL28	5.783520661	RNADuo
YR216	CL28	5.857214876	RNADuo
B4	flg22_1000nM	0.862041322	RNADuo
B4	flg22_1000nM	0.892561983	RNADuo
B4	flg22_1000nM	1.691123967	RNADuo
B4	flg22_1000nM	1.719322314	RNADuo
B4	flg22_1000nM	2.215859504	RNADuo
B4	flg22_1000nM	2.281231405	RNADuo
B4	flg22_1000nM	2.385900826	RNADuo
B4	flg22_1000nM	2.454305785	RNADuo
B4	flg22_1000nM	2.51	RNADuo
B4	flg22_1000nM	2.555950413	RNADuo
B4	flg22_1000nM	2.586132231	RNADuo
B4	flg22_1000nM	2.744	RNADuo
B4	flg22_1000nM	2.858504132	RNADuo
B4	flg22_1000nM	3.038809917	RNADuo
B4	flg22_1000nM	3.043661157	RNADuo
B4	flg22_1000nM	3.119545455	RNADuo
B4	flg22_1000nM	3.209338843	RNADuo
B4	flg22_1000nM	3.313876033	RNADuo
B4	flg22_1000nM	3.604520661	RNADuo
CL11	flg22_1000nM	1.317347107	RNADuo
CL11	flg22_1000nM	1.533545455	RNADuo
CL11	flg22_1000nM	1.818181818	RNADuo
CL11	flg22_1000nM	1.884586777	RNADuo
CL11	flg22_1000nM	2.018966942	RNADuo
CL11	flg22_1000nM	2.296272727	RNADuo
CL11	flg22_1000nM	2.333099174	RNADuo
CL11	flg22_1000nM	2.685024793	RNADuo
CL11	flg22_1000nM	2.96453719	RNADuo
CL11	flg22_1000nM	2.975206612	RNADuo
CL11	flg22_1000nM	3.243884298	RNADuo
CL11	flg22_1000nM	3.97368595	RNADuo
CL14	flg22_1000nM	0.887033058	RNADuo
CL14	flg22_1000nM	1.194206612	RNADuo
CL14	flg22_1000nM	1.581950413	RNADuo
CL14	flg22_1000nM	1.670644628	RNADuo
CL14	flg22_1000nM	2.448289256	RNADuo
CL14	flg22_1000nM	2.529950413	RNADuo
CL14	flg22_1000nM	2.566834711	RNADuo
CL14	flg22_1000nM	2.580421488	RNADuo
CL14	flg22_1000nM	2.588876033	RNADuo
CL14	flg22_1000nM	2.612404959	RNADuo
CL14	flg22_1000nM	2.657818182	RNADuo
CL14	flg22_1000nM	2.690710744	RNADuo
CL14	flg22_1000nM	2.774694215	RNADuo
CL14	flg22_1000nM	2.810694215	RNADuo
CL14	flg22_1000nM	2.84777686	RNADuo
CL14	flg22_1000nM	3.104272727	RNADuo
CL14	flg22_1000nM	3.175099174	RNADuo
CL14	flg22_1000nM	3.253975207	RNADuo
CL14	flg22_1000nM	3.256495868	RNADuo
CL14	flg22_1000nM	3.296677686	RNADuo
CL14	flg22_1000nM	3.538578512	RNADuo
MF160	flg22_1000nM	0.595041322	RNADuo
MF160	flg22_1000nM	0.760330579	RNADuo
MF160	flg22_1000nM	1.260107438	RNADuo
MF160	flg22_1000nM	1.809743802	RNADuo
MF160	flg22_1000nM	1.950413223	RNADuo
MF160	flg22_1000nM	1.968264463	RNADuo
MF160	flg22_1000nM	1.993363636	RNADuo
MF160	flg22_1000nM	2.071066116	RNADuo
MF160	flg22_1000nM	2.103785124	RNADuo
MF160	flg22_1000nM	2.202008264	RNADuo
MF160	flg22_1000nM	2.215123967	RNADuo
MF160	flg22_1000nM	2.23061157	RNADuo
MF160	flg22_1000nM	2.431495868	RNADuo
MF160	flg22_1000nM	2.550818182	RNADuo
MF160	flg22_1000nM	2.717991736	RNADuo
MF160	flg22_1000nM	2.969322314	RNADuo
MF160	flg22_1000nM	2.975206612	RNADuo
MF160	flg22_1000nM	3.239834711	RNADuo
MF160	flg22_1000nM	3.676710744	RNADuo
MF160	flg22_1000nM	3.744884298	RNADuo
NB	flg22_1000nM	1.139900826	RNADuo
NB	flg22_1000nM	1.456049587	RNADuo
NB	flg22_1000nM	2.116735537	RNADuo
NB	flg22_1000nM	2.215123967	RNADuo
NB	flg22_1000nM	3.021859504	RNADuo
NB	flg22_1000nM	3.256495868	RNADuo
NB	flg22_1000nM	3.276900826	RNADuo
NB	flg22_1000nM	3.344727273	RNADuo
NB	flg22_1000nM	3.358586777	RNADuo
NB	flg22_1000nM	3.769900826	RNADuo
NB	flg22_1000nM	4.059528926	RNADuo
NB	flg22_1000nM	4.663033058	RNADuo
YR216	flg22_1000nM	1.136057851	RNADuo
YR216	flg22_1000nM	1.39	RNADuo
YR216	flg22_1000nM	1.487966942	RNADuo
YR216	flg22_1000nM	1.522099174	RNADuo
YR216	flg22_1000nM	1.592280992	RNADuo
YR216	flg22_1000nM	1.65322314	RNADuo
YR216	flg22_1000nM	1.724082645	RNADuo
YR216	flg22_1000nM	1.917636364	RNADuo
YR216	flg22_1000nM	1.950413223	RNADuo
YR216	flg22_1000nM	1.993363636	RNADuo
YR216	flg22_1000nM	2.01761157	RNADuo
YR216	flg22_1000nM	2.329115702	RNADuo
YR216	flg22_1000nM	2.385900826	RNADuo
YR216	flg22_1000nM	2.394809917	RNADuo
YR216	flg22_1000nM	2.514355372	RNADuo
YR216	flg22_1000nM	2.526280992	RNADuo
YR216	flg22_1000nM	2.61177686	RNADuo
YR216	flg22_1000nM	3.015520661	RNADuo
B4	flg22_100nM	0.859504132	RNADuo
B4	flg22_100nM	0.958677686	RNADuo
B4	flg22_100nM	1.553719008	RNADuo
B4	flg22_100nM	1.819380165	RNADuo
B4	flg22_100nM	2.115958678	RNADuo
B4	flg22_100nM	2.478239669	RNADuo
B4	flg22_100nM	2.703677686	RNADuo
B4	flg22_100nM	2.735024793	RNADuo
B4	flg22_100nM	2.777256198	RNADuo
B4	flg22_100nM	2.792752066	RNADuo
B4	flg22_100nM	2.895727273	RNADuo
B4	flg22_100nM	3.20268595	RNADuo
B4	flg22_100nM	3.320628099	RNADuo
B4	flg22_100nM	3.407528926	RNADuo
B4	flg22_100nM	3.733198347	RNADuo
B4	flg22_100nM	4.092371901	RNADuo
B4	flg22_100nM	4.171710744	RNADuo
B4	flg22_100nM	4.35185124	RNADuo
CL11	flg22_100nM	0.495867769	RNADuo
CL11	flg22_100nM	1.750504132	RNADuo
CL11	flg22_100nM	1.759842975	RNADuo
CL11	flg22_100nM	1.885454545	RNADuo
CL11	flg22_100nM	2.44561157	RNADuo
CL11	flg22_100nM	2.865561983	RNADuo
CL11	flg22_100nM	3.34685124	RNADuo
CL11	flg22_100nM	3.581553719	RNADuo
CL11	flg22_100nM	3.605727273	RNADuo
CL11	flg22_100nM	3.643719008	RNADuo
CL11	flg22_100nM	3.670016529	RNADuo
CL11	flg22_100nM	3.684280992	RNADuo
CL11	flg22_100nM	3.900826446	RNADuo
CL11	flg22_100nM	4.00668595	RNADuo
CL11	flg22_100nM	4.348710744	RNADuo
CL11	flg22_100nM	4.453859504	RNADuo
CL11	flg22_100nM	4.818966942	RNADuo
CL11	flg22_100nM	5.035652893	RNADuo
CL14	flg22_100nM	0.730272727	RNADuo
CL14	flg22_100nM	1.828966942	RNADuo
CL14	flg22_100nM	2.194057851	RNADuo
CL14	flg22_100nM	2.380165289	RNADuo
CL14	flg22_100nM	2.528438017	RNADuo
CL14	flg22_100nM	2.548884298	RNADuo
CL14	flg22_100nM	2.578512397	RNADuo
CL14	flg22_100nM	2.619090909	RNADuo
CL14	flg22_100nM	2.652057851	RNADuo
CL14	flg22_100nM	3.075090909	RNADuo
CL14	flg22_100nM	3.143280992	RNADuo
CL14	flg22_100nM	3.17785124	RNADuo
CL14	flg22_100nM	3.420966942	RNADuo
CL14	flg22_100nM	3.440561983	RNADuo
CL14	flg22_100nM	3.547066116	RNADuo
CL14	flg22_100nM	3.57177686	RNADuo
MF160	flg22_100nM	0.694214876	RNADuo
MF160	flg22_100nM	1.553719008	RNADuo
MF160	flg22_100nM	1.785123967	RNADuo
MF160	flg22_100nM	1.855958678	RNADuo
MF160	flg22_100nM	2.259809917	RNADuo
MF160	flg22_100nM	2.621801653	RNADuo
MF160	flg22_100nM	3.042942149	RNADuo
MF160	flg22_100nM	3.181975207	RNADuo
MF160	flg22_100nM	3.239669421	RNADuo
MF160	flg22_100nM	3.405115702	RNADuo
MF160	flg22_100nM	3.47107438	RNADuo
MF160	flg22_100nM	3.744884298	RNADuo
MF160	flg22_100nM	4.000545455	RNADuo
MF160	flg22_100nM	4.081677686	RNADuo
MF160	flg22_100nM	4.355239669	RNADuo
MF160	flg22_100nM	4.370140496	RNADuo
MF160	flg22_100nM	4.418636364	RNADuo
MF160	flg22_100nM	4.495140496	RNADuo
MF160	flg22_100nM	4.635652893	RNADuo
MF160	flg22_100nM	4.661272727	RNADuo
MF160	flg22_100nM	4.836173554	RNADuo
NB	flg22_100nM	0.396694215	RNADuo
NB	flg22_100nM	1.424942149	RNADuo
NB	flg22_100nM	1.520661157	RNADuo
NB	flg22_100nM	1.522099174	RNADuo
NB	flg22_100nM	2.385900826	RNADuo
NB	flg22_100nM	2.567471074	RNADuo
NB	flg22_100nM	2.66131405	RNADuo
NB	flg22_100nM	2.983644628	RNADuo
NB	flg22_100nM	2.990049587	RNADuo
NB	flg22_100nM	3.050115702	RNADuo
NB	flg22_100nM	3.761338843	RNADuo
NB	flg22_100nM	3.789413223	RNADuo
NB	flg22_100nM	3.838132231	RNADuo
NB	flg22_100nM	3.851206612	RNADuo
NB	flg22_100nM	4.027768595	RNADuo
NB	flg22_100nM	4.546264463	RNADuo
NB	flg22_100nM	4.573942149	RNADuo
YR216	flg22_100nM	1.025322314	RNADuo
YR216	flg22_100nM	2.050652893	RNADuo
YR216	flg22_100nM	2.181818182	RNADuo
YR216	flg22_100nM	2.559157025	RNADuo
YR216	flg22_100nM	2.954008264	RNADuo
YR216	flg22_100nM	3.010991736	RNADuo
YR216	flg22_100nM	3.062983471	RNADuo
YR216	flg22_100nM	3.124975207	RNADuo
YR216	flg22_100nM	3.22292562	RNADuo
YR216	flg22_100nM	3.577735537	RNADuo
YR216	flg22_100nM	3.598446281	RNADuo
YR216	flg22_100nM	3.787975207	RNADuo
YR216	flg22_100nM	3.810842975	RNADuo
YR216	flg22_100nM	3.895363636	RNADuo
YR216	flg22_100nM	4.030619835	RNADuo
YR216	flg22_100nM	4.03522314	RNADuo
YR216	flg22_100nM	4.073636364	RNADuo
YR216	flg22_100nM	4.257413223	RNADuo
YR216	flg22_100nM	4.450181818	RNADuo
YR216	flg22_100nM	4.596942149	RNADuo
B4	IAA_1000nM	1.726933884	RNADuo
B4	IAA_1000nM	1.787876033	RNADuo
B4	IAA_1000nM	1.800057851	RNADuo
B4	IAA_1000nM	1.954892562	RNADuo
B4	IAA_1000nM	2.492305785	RNADuo
B4	IAA_1000nM	2.657818182	RNADuo
B4	IAA_1000nM	2.682785124	RNADuo
B4	IAA_1000nM	2.735024793	RNADuo
B4	IAA_1000nM	2.800760331	RNADuo
B4	IAA_1000nM	2.942892562	RNADuo
B4	IAA_1000nM	3.415214876	RNADuo
B4	IAA_1000nM	3.57407438	RNADuo
B4	IAA_1000nM	3.711909091	RNADuo
B4	IAA_1000nM	3.973826446	RNADuo
B4	IAA_1000nM	4.315793388	RNADuo
B4	IAA_1000nM	4.896694215	RNADuo
CL11	IAA_1000nM	0.272603306	RNADuo
CL11	IAA_1000nM	0.363636364	RNADuo
CL11	IAA_1000nM	0.365132231	RNADuo
CL11	IAA_1000nM	0.365132231	RNADuo
CL11	IAA_1000nM	0.399438017	RNADuo
CL11	IAA_1000nM	0.41814876	RNADuo
CL11	IAA_1000nM	0.434809917	RNADuo
CL11	IAA_1000nM	0.52892562	RNADuo
CL11	IAA_1000nM	0.564892562	RNADuo
CL11	IAA_1000nM	0.595958678	RNADuo
CL11	IAA_1000nM	0.627231405	RNADuo
CL11	IAA_1000nM	0.727272727	RNADuo
CL14	IAA_1000nM	1.99692562	RNADuo
CL14	IAA_1000nM	2.776859504	RNADuo
CL14	IAA_1000nM	3.706165289	RNADuo
CL14	IAA_1000nM	3.712206612	RNADuo
CL14	IAA_1000nM	4.409107438	RNADuo
CL14	IAA_1000nM	4.411702479	RNADuo
CL14	IAA_1000nM	4.637652893	RNADuo
CL14	IAA_1000nM	5.064760331	RNADuo
CL14	IAA_1000nM	5.264404959	RNADuo
CL14	IAA_1000nM	5.502818182	RNADuo
CL14	IAA_1000nM	5.585504132	RNADuo
CL14	IAA_1000nM	5.63585124	RNADuo
CL14	IAA_1000nM	5.638280992	RNADuo
CL14	IAA_1000nM	5.83168595	RNADuo
CL14	IAA_1000nM	5.940950413	RNADuo
CL14	IAA_1000nM	6.035115702	RNADuo
CL14	IAA_1000nM	6.054644628	RNADuo
CL14	IAA_1000nM	6.21038843	RNADuo
CL14	IAA_1000nM	6.625190083	RNADuo
CL14	IAA_1000nM	6.671545455	RNADuo
MF160	IAA_1000nM	1.307454545	RNADuo
MF160	IAA_1000nM	2.083231405	RNADuo
MF160	IAA_1000nM	2.136520661	RNADuo
MF160	IAA_1000nM	3.574876033	RNADuo
MF160	IAA_1000nM	4.181132231	RNADuo
MF160	IAA_1000nM	4.195743802	RNADuo
MF160	IAA_1000nM	4.214066116	RNADuo
MF160	IAA_1000nM	4.231917355	RNADuo
MF160	IAA_1000nM	4.619586777	RNADuo
MF160	IAA_1000nM	6.322958678	RNADuo
MF160	IAA_1000nM	6.461942149	RNADuo
NB	IAA_1000nM	0.330578512	RNADuo
NB	IAA_1000nM	0.330578512	RNADuo
NB	IAA_1000nM	0.330578512	RNADuo
NB	IAA_1000nM	0.332231405	RNADuo
NB	IAA_1000nM	0.363636364	RNADuo
NB	IAA_1000nM	0.429752066	RNADuo
NB	IAA_1000nM	0.513198347	RNADuo
NB	IAA_1000nM	0.52892562	RNADuo
NB	IAA_1000nM	0.529958678	RNADuo
NB	IAA_1000nM	0.55414876	RNADuo
NB	IAA_1000nM	0.570669421	RNADuo
NB	IAA_1000nM	0.595041322	RNADuo
NB	IAA_1000nM	0.628966942	RNADuo
NB	IAA_1000nM	0.661157025	RNADuo
NB	IAA_1000nM	0.668553719	RNADuo
NB	IAA_1000nM	0.674247934	RNADuo
NB	IAA_1000nM	0.697355372	RNADuo
NB	IAA_1000nM	0.79407438	RNADuo
YR216	IAA_1000nM	1.820884298	RNADuo
YR216	IAA_1000nM	1.917355372	RNADuo
YR216	IAA_1000nM	2.076603306	RNADuo
YR216	IAA_1000nM	3.042942149	RNADuo
YR216	IAA_1000nM	3.07153719	RNADuo
YR216	IAA_1000nM	3.443735537	RNADuo
YR216	IAA_1000nM	3.572694215	RNADuo
YR216	IAA_1000nM	3.592520661	RNADuo
YR216	IAA_1000nM	3.717355372	RNADuo
YR216	IAA_1000nM	3.829719008	RNADuo
YR216	IAA_1000nM	4.030619835	RNADuo
YR216	IAA_1000nM	4.059793388	RNADuo
YR216	IAA_1000nM	4.079528926	RNADuo
YR216	IAA_1000nM	4.124950413	RNADuo
YR216	IAA_1000nM	4.177991736	RNADuo
B4	IAA_100nM	0.873380165	RNADuo
B4	IAA_100nM	1.724719008	RNADuo
B4	IAA_100nM	1.822983471	RNADuo
B4	IAA_100nM	2.055173554	RNADuo
B4	IAA_100nM	2.103785124	RNADuo
B4	IAA_100nM	2.116735537	RNADuo
B4	IAA_100nM	2.239413223	RNADuo
B4	IAA_100nM	2.248909091	RNADuo
B4	IAA_100nM	2.28314876	RNADuo
B4	IAA_100nM	2.545454545	RNADuo
B4	IAA_100nM	2.954008264	RNADuo
B4	IAA_100nM	3.408966942	RNADuo
B4	IAA_100nM	3.914809917	RNADuo
B4	IAA_100nM	3.953834711	RNADuo
B4	IAA_100nM	4.470636364	RNADuo
B4	IAA_100nM	4.500239669	RNADuo
B4	IAA_100nM	4.705842975	RNADuo
B4	IAA_100nM	5.768099174	RNADuo
B4	IAA_100nM	6.146272727	RNADuo
B4	IAA_100nM	6.153115702	RNADuo
B4	IAA_100nM	6.676049587	RNADuo
CL11	IAA_100nM	1.050595041	RNADuo
CL11	IAA_100nM	1.48907438	RNADuo
CL11	IAA_100nM	1.500768595	RNADuo
CL11	IAA_100nM	1.619834711	RNADuo
CL11	IAA_100nM	1.622867769	RNADuo
CL11	IAA_100nM	1.767280992	RNADuo
CL11	IAA_100nM	1.847991736	RNADuo
CL11	IAA_100nM	1.854190083	RNADuo
CL11	IAA_100nM	2.051983471	RNADuo
CL11	IAA_100nM	2.680950413	RNADuo
CL11	IAA_100nM	2.690710744	RNADuo
CL11	IAA_100nM	3.571628099	RNADuo
CL11	IAA_100nM	3.648512397	RNADuo
CL11	IAA_100nM	3.66346281	RNADuo
CL11	IAA_100nM	3.753198347	RNADuo
CL14	IAA_100nM	3.104272727	RNADuo
CL14	IAA_100nM	3.190380165	RNADuo
CL14	IAA_100nM	3.740801653	RNADuo
CL14	IAA_100nM	4.264975207	RNADuo
CL14	IAA_100nM	4.40277686	RNADuo
CL14	IAA_100nM	4.465256198	RNADuo
CL14	IAA_100nM	4.586950413	RNADuo
CL14	IAA_100nM	4.592305785	RNADuo
CL14	IAA_100nM	4.599322314	RNADuo
CL14	IAA_100nM	4.829272727	RNADuo
CL14	IAA_100nM	4.837752066	RNADuo
CL14	IAA_100nM	5.024471074	RNADuo
CL14	IAA_100nM	5.024900826	RNADuo
CL14	IAA_100nM	5.126628099	RNADuo
CL14	IAA_100nM	5.232024793	RNADuo
CL14	IAA_100nM	5.386099174	RNADuo
CL14	IAA_100nM	5.637016529	RNADuo
CL14	IAA_100nM	5.748834711	RNADuo
CL14	IAA_100nM	5.945363636	RNADuo
CL14	IAA_100nM	5.965909091	RNADuo
CL14	IAA_100nM	6.07131405	RNADuo
CL14	IAA_100nM	6.138528926	RNADuo
MF160	IAA_100nM	2.413	RNADuo
MF160	IAA_100nM	3.190727273	RNADuo
MF160	IAA_100nM	3.358586777	RNADuo
MF160	IAA_100nM	3.501793388	RNADuo
MF160	IAA_100nM	3.563198347	RNADuo
MF160	IAA_100nM	4.033057851	RNADuo
MF160	IAA_100nM	4.098107438	RNADuo
MF160	IAA_100nM	4.217438017	RNADuo
MF160	IAA_100nM	4.429876033	RNADuo
MF160	IAA_100nM	4.474917355	RNADuo
MF160	IAA_100nM	4.636239669	RNADuo
MF160	IAA_100nM	4.652239669	RNADuo
MF160	IAA_100nM	4.679876033	RNADuo
MF160	IAA_100nM	4.707818182	RNADuo
MF160	IAA_100nM	5.872214876	RNADuo
MF160	IAA_100nM	6.543867769	RNADuo
NB	IAA_100nM	0.766768595	RNADuo
NB	IAA_100nM	0.859504132	RNADuo
NB	IAA_100nM	0.892561983	RNADuo
NB	IAA_100nM	1.201504132	RNADuo
NB	IAA_100nM	1.421487603	RNADuo
NB	IAA_100nM	1.500768595	RNADuo
NB	IAA_100nM	1.654214876	RNADuo
NB	IAA_100nM	1.673917355	RNADuo
NB	IAA_100nM	1.789404959	RNADuo
NB	IAA_100nM	1.821785124	RNADuo
NB	IAA_100nM	1.855958678	RNADuo
NB	IAA_100nM	2.068958678	RNADuo
NB	IAA_100nM	2.295082645	RNADuo
NB	IAA_100nM	2.44985124	RNADuo
NB	IAA_100nM	2.690710744	RNADuo
NB	IAA_100nM	3.243884298	RNADuo
YR216	IAA_100nM	1.757049587	RNADuo
YR216	IAA_100nM	1.917355372	RNADuo
YR216	IAA_100nM	2.086834711	RNADuo
YR216	IAA_100nM	3.577735537	RNADuo
YR216	IAA_100nM	3.580033058	RNADuo
YR216	IAA_100nM	3.598446281	RNADuo
YR216	IAA_100nM	3.902090909	RNADuo
YR216	IAA_100nM	4.049421488	RNADuo
YR216	IAA_100nM	4.115272727	RNADuo
YR216	IAA_100nM	4.148198347	RNADuo
YR216	IAA_100nM	4.946322314	RNADuo
YR216	IAA_100nM	5.220735537	RNADuo
YR216	IAA_100nM	5.289768595	RNADuo
YR216	IAA_100nM	5.342702479	RNADuo
YR216	IAA_100nM	5.485016529	RNADuo
YR216	IAA_100nM	6.634421488	RNADuo
CL11	NB	1.496760331	RNADuo
CL11	NB	2.736024793	RNADuo
CL11	NB	3.038809917	RNADuo
CL11	NB	4.039694215	RNADuo
CL11	NB	4.13553719	RNADuo
CL11	NB	4.272652893	RNADuo
CL11	NB	4.336760331	RNADuo
CL11	NB	5.092735537	RNADuo
CL11	NB	5.289355372	RNADuo
CL11	NB	5.587165289	RNADuo
CL11	NB	5.785123967	RNADuo
CL11	NB	5.851330579	RNADuo
CL11	NB	6.312322314	RNADuo
CL11	NB	6.667206612	RNADuo
CL11	NB	6.744528926	RNADuo
CL11	NB	6.776132231	RNADuo
CL11	NB	6.909801653	RNADuo
CL11	NB	7.210322314	RNADuo
CL14	NB	1.686272727	RNADuo
CL14	NB	3.008446281	RNADuo
CL14	NB	3.775694215	RNADuo
CL14	NB	4.503636364	RNADuo
CL14	NB	5.492479339	RNADuo
CL14	NB	5.666793388	RNADuo
CL14	NB	5.753586777	RNADuo
CL14	NB	5.830661157	RNADuo
CL14	NB	6.150181818	RNADuo
CL14	NB	6.371942149	RNADuo
CL14	NB	6.41322314	RNADuo
CL14	NB	6.72668595	RNADuo
CL14	NB	7.447338843	RNADuo
CL14	NB	7.576090909	RNADuo
CL14	NB	7.626553719	RNADuo
MF160	NB	3.022942149	RNADuo
MF160	NB	3.030702479	RNADuo
MF160	NB	4.865008264	RNADuo
MF160	NB	5.033595041	RNADuo
MF160	NB	5.520661157	RNADuo
MF160	NB	5.556272727	RNADuo
MF160	NB	5.610107438	RNADuo
MF160	NB	6.019793388	RNADuo
MF160	NB	6.35407438	RNADuo
MF160	NB	6.68431405	RNADuo
NB	NB	3.717206612	RNADuo
NB	NB	4.044057851	RNADuo
NB	NB	4.51246281	RNADuo
NB	NB	4.896619835	RNADuo
NB	NB	5.196818182	RNADuo
NB	NB	5.53031405	RNADuo
NB	NB	6.025256198	RNADuo
NB	NB	6.298297521	RNADuo
NB	NB	6.458669421	RNADuo
NB	NB	6.573239669	RNADuo
YR216	NB	0.363636364	RNADuo
YR216	NB	0.585785124	RNADuo
YR216	NB	2.033793388	RNADuo
YR216	NB	2.482859504	RNADuo
YR216	NB	3.092809917	RNADuo
YR216	NB	5.35792562	RNADuo
YR216	NB	5.593033058	RNADuo
YR216	NB	5.699768595	RNADuo
YR216	NB	5.890239669	RNADuo
YR216	NB	7.174239669	RNADuo
