Strain	Length	Experiment
CL143	5.115917355	mono1
CL143	5.854603306	mono1
CL143	5.870644628	mono1
CL143	5.800272727	mono1
CL143	5.660719008	mono1
CL143	6.172008264	mono1
CL143	6.277628099	mono1
CL19	6.220520661	mono1
CL19	5.950413223	mono1
CL19	6.225561983	mono1
CL19	5.580495868	mono1
CL19	6.652760331	mono1
CL19	5.79677686	mono1
CL19	6.168975207	mono1
CL19	5.805942149	mono1
CL19	5.709	mono1
CL19	5.709	mono1
CL19	4.765619835	mono1
CL2	5.396652893	mono1
CL2	3.953983471	mono1
CL2	4.367082645	mono1
CL2	4.09361157	mono1
CL2	4.457983471	mono1
CL2	6.258206612	mono1
CL2	5.596338843	mono1
CL2	5.785421488	mono1
CL2	5.730702479	mono1
CL2	5.205487603	mono1
CL32	4.071619835	mono1
CL32	4.330768595	mono1
CL32	4.132760331	mono1
CL32	3.905867769	mono1
CL32	3.643347107	mono1
CL32	5.09114876	mono1
CL32	4.148892562	mono1
CL32	4.476289256	mono1
CL32	5.029057851	mono1
CL33	3.628842975	mono1
CL33	4.312561983	mono1
CL33	4.369702479	mono1
CL33	4.330859504	mono1
CL33	4.044016529	mono1
CL33	4.424380165	mono1
CL33	3.956256198	mono1
CL33	4.231438017	mono1
CL33	3.772793388	mono1
CL41	3.860528926	mono1
CL41	3.57661157	mono1
CL41	3.868082645	mono1
CL41	4.744876033	mono1
CL41	4.630991736	mono1
CL41	4.760396694	mono1
CL41	3.547619835	mono1
CL41	4.314330579	mono1
CL41	3.888057851	mono1
MF10	2.072735537	mono1
MF10	1.985016529	mono1
MF10	2.060239669	mono1
MF10	1.777702479	mono1
MF10	1.686132231	mono1
MF10	2.052016529	mono1
MF10	2.950520661	mono1
MF10	2.595619835	mono1
MF10	2.356545455	mono1
MF174	5.18561157	mono1
MF174	5.977677686	mono1
MF174	5.318801653	mono1
MF174	5.827239669	mono1
MF174	5.419495868	mono1
MF174	5.590892562	mono1
MF174	5.356809917	mono1
MF174	5.730867769	mono1
MF174	6.077619835	mono1
MF174	5.807421488	mono1
MF177	5.455049587	mono1
MF177	5.318801653	mono1
MF177	5.223644628	mono1
MF177	5.578735537	mono1
MF177	6.020710744	mono1
MF177	6.096652893	mono1
MF177	4.678008264	mono1
MF177	5.640371901	mono1
MF177	5.640371901	mono1
MF190	5.381082645	mono1
MF190	5.578570248	mono1
MF190	5.465016529	mono1
MF190	5.358181818	mono1
MF190	5.931892562	mono1
MF190	5.931892562	mono1
MF190	6.23631405	mono1
MF190	6.026628099	mono1
MF190	6.138454545	mono1
MF190	4.584024793	mono1
MF190	6.144363636	mono1
MF2	5.489652893	mono1
MF2	5.781966942	mono1
MF2	4.782619835	mono1
MF2	4.875669421	mono1
MF2	4.909652893	mono1
MF2	6.26453719	mono1
MF2	5.790892562	mono1
MF2	5.527090909	mono1
MF2	5.060041322	mono1
MF2	4.629	mono1
MF224	0.827520661	mono1
MF224	0.739661157	mono1
MF224	0.768595041	mono1
MF224	0.870595041	mono1
MF224	1.192404959	mono1
MF224	1.449512397	mono1
MF224	0.968214876	mono1
MF224	0.89014876	mono1
MF224	1.142917355	mono1
MF275	5.415752066	mono1
MF275	5.050677686	mono1
MF275	5.513561983	mono1
MF275	4.395429752	mono1
MF275	5.634702479	mono1
MF275	5.953719008	mono1
MF275	6.055727273	mono1
MF275	5.434338843	mono1
MF275	6.061867769	mono1
MF275	5.824966942	mono1
MF300	4.576454545	mono1
MF300	5.159834711	mono1
MF300	5.40553719	mono1
MF300	5.717859504	mono1
MF300	5.453669421	mono1
MF300	5.350190083	mono1
MF300	5.124206612	mono1
MF300	5.55853719	mono1
MF300	5.511942149	mono1
MF300	5.124636364	mono1
MF302	4.459289256	mono1
MF302	5.353661157	mono1
MF302	5.240504132	mono1
MF302	5.222983471	mono1
MF302	4.793842975	mono1
MF302	5.423355372	mono1
MF302	5.290909091	mono1
MF302	4.836652893	mono1
MF302	4.877041322	mono1
MF302	5.046066116	mono1
MF305	2.718644628	mono1
MF305	3.190380165	mono1
MF305	3.165710744	mono1
MF305	2.418876033	mono1
MF305	1.908	mono1
MF305	2.398743802	mono1
MF305	2.654735537	mono1
MF305	1.937338843	mono1
MF305	2.561719008	mono1
MF305	3.024834711	mono1
MF312a	4.714247934	mono1
MF312a	5.571132231	mono1
MF312a	4.748669421	mono1
MF312a	5.206636364	mono1
MF312a	5.445272727	mono1
MF312a	5.299396694	mono1
MF312a	4.150371901	mono1
MF312a	4.614504132	mono1
MF312a	5.326008264	mono1
MF312a	3.139710744	mono1
MF33	3.857330579	mono1
MF33	4.817132231	mono1
MF33	4.977917355	mono1
MF33	4.402933884	mono1
MF33	4.587570248	mono1
MF33	4.535578512	mono1
MF33	3.833413223	mono1
MF33	4.699892562	mono1
MF33	4.268661157	mono1
MF33	3.645090909	mono1
MF345	2.634033058	mono1
MF345	5.39714876	mono1
MF345	4.939165289	mono1
MF345	5.677512397	mono1
MF345	5.867355372	mono1
MF345	5.404371901	mono1
MF345	5.357710744	mono1
MF345	5.841057851	mono1
MF345	5.666446281	mono1
MF345	5.360355372	mono1
MF370	5.575479339	mono1
MF370	5.276330579	mono1
MF370	5.78807438	mono1
MF370	6.299909091	mono1
MF370	5.610107438	mono1
MF370	5.628975207	mono1
MF370	5.292619835	mono1
MF370	4.970809917	mono1
MF370	5.805942149	mono1
MF370	5.931892562	mono1
MF378	5.499719008	mono1
MF378	6.108487603	mono1
MF378	5.681578512	mono1
MF378	5.230173554	mono1
MF378	5.951702479	mono1
MF378	5.64777686	mono1
MF378	5.946330579	mono1
MF378	5.817157025	mono1
MF378	5.95392562	mono1
MF378	6.251082645	mono1
MF389	3.277322314	mono1
MF389	2.777082645	mono1
MF389	3.282107438	mono1
MF389	2.524793388	mono1
MF389	3.436636364	mono1
MF389	2.900933884	mono1
MF389	3.52746281	mono1
MF389	2.780512397	mono1
MF389	3.598033058	mono1
MF389	3.102743802	mono1
MF42	6.130586777	mono1
MF42	5.13677686	mono1
MF42	4.822421488	mono1
MF42	5.654471074	mono1
MF42	5.315561983	mono1
MF42	5.368495868	mono1
MF42	5.020280992	mono1
MF42	5.804933884	mono1
MF42	5.108396694	mono1
MF42	5.380619835	mono1
MF57	5.304107438	mono1
MF57	4.78277686	mono1
MF57	5.297619835	mono1
MF57	5.125669421	mono1
MF57	4.582181818	mono1
MF57	4.994471074	mono1
MF57	5.334719008	mono1
MF57	4.723917355	mono1
MF57	5.061735537	mono1
MF57	5.040429752	mono1
MF8	6.344090909	mono1
MF8	6.433471074	mono1
MF8	6.466256198	mono1
MF8	6.032495868	mono1
MF8	5.151190083	mono1
MF8	5.90931405	mono1
MF8	6.125966942	mono1
MF8	6.213206612	mono1
MF8	5.424008264	mono1
CL10	4.538884298	mono1
CL10	4.958735537	mono1
CL10	5.050677686	mono1
CL10	4.421082645	mono1
CL10	2.95946281	mono1
CL10	3.80107438	mono1
CL10	3.923702479	mono1
CL10	5.022049587	mono1
CL10	5.55753719	mono1
CL127	6.013355372	mono1
CL127	6.024842975	mono1
CL127	5.781165289	mono1
CL127	6.142057851	mono1
CL127	6.357024793	mono1
CL127	6.420338843	mono1
CL127	6.525371901	mono1
CL127	6.349479339	mono1
CL127	6.484785124	mono1
CL127	6.363983471	mono1
CL12a	6.620016529	mono1
CL12a	6.571	mono1
CL12a	6.115578512	mono1
CL12a	5.776909091	mono1
CL12a	5.824966942	mono1
CL12a	5.955578512	mono1
CL12a	5.995743802	mono1
CL12a	5.649247934	mono1
CL140	6.442702479	mono1
CL140	5.873727273	mono1
CL140	5.697628099	mono1
CL140	5.926603306	mono1
CL140	5.792214876	mono1
CL140	6.132595041	mono1
CL140	6.049024793	mono1
CL140	6.197603306	mono1
CL140	6.29361157	mono1
CL147	5.672487603	mono1
CL147	6.119752066	mono1
CL147	5.331504132	mono1
CL147	4.507355372	mono1
CL147	5.75468595	mono1
CL147	6.117338843	mono1
CL147	5.457305785	mono1
CL147	5.714595041	mono1
CL152	5.184727273	mono1
CL152	6.041297521	mono1
CL152	5.678553719	mono1
CL152	5.792371901	mono1
CL152	5.256429752	mono1
CL152	5.703826446	mono1
CL152	5.637322314	mono1
CL152	5.733760331	mono1
CL152	5.108396694	mono1
CL17	4.357181818	mono1
CL17	4.265619835	mono1
CL17	4.420983471	mono1
CL17	3.380479339	mono1
CL17	3.628842975	mono1
CL17	4.002661157	mono1
CL17	3.473595041	mono1
CL17	5.308355372	mono1
CL17	3.603909091	mono1
CL20	3.174115702	mono1
CL20	3.62168595	mono1
CL20	4.598520661	mono1
CL20	4.793305785	mono1
CL20	4.625380165	mono1
CL20	5.196421488	mono1
CL20	4.810942149	mono1
CL20	4.385429752	mono1
CL20	4.610892562	mono1
CL28	2.073247934	mono1
CL28	1.207066116	mono1
CL28	1.595702479	mono1
CL28	1.774454545	mono1
CL28	1.092033058	mono1
CL28	1.098892562	mono1
CL28	0.902305785	mono1
CL28	0.914487603	mono1
CL28	1.059016529	mono1
CL28	1.219115702	mono1
CL63	2.110140496	mono1
CL63	2.01822314	mono1
CL63	1.867768595	mono1
CL63	1.138578512	mono1
CL63	2.144752066	mono1
CL63	1.011644628	mono1
CL63	0.989115702	mono1
CL63	0.967330579	mono1
CL63	0.967330579	mono1
CL63	1.62522314	mono1
CL68	5.121834711	mono1
CL68	4.632347107	mono1
CL68	4.14068595	mono1
CL68	5.522247934	mono1
CL68	5.487702479	mono1
CL68	6.201677686	mono1
CL68	5.433669421	mono1
CL68	5.12407438	mono1
CL68	5.887636364	mono1
MF109	5.246363636	mono1
MF109	5.232876033	mono1
MF109	6.223586777	mono1
MF109	5.594413223	mono1
MF109	5.902132231	mono1
MF109	6.224520661	mono1
MF109	6.393471074	mono1
MF109	6.195471074	mono1
MF109	5.52914876	mono1
MF11	4.950859504	mono1
MF11	4.414338843	mono1
MF11	5.511942149	mono1
MF11	5.339966942	mono1
MF11	5.493677686	mono1
MF11	5.21138843	mono1
MF11	5.802504132	mono1
MF11	5.263272727	mono1
MF11	4.941413223	mono1
MF11	5.802504132	mono1
MF114	5.732636364	mono1
MF114	5.539809917	mono1
MF114	5.657297521	mono1
MF114	5.215107438	mono1
MF114	5.213099174	mono1
MF114	4.966173554	mono1
MF114	5.713033058	mono1
MF114	5.368272727	mono1
MF114	5.136066116	mono1
MF114	4.552950413	mono1
MF115a	4.538884298	mono1
MF115a	4.815090909	mono1
MF115a	4.26453719	mono1
MF115a	5.172553719	mono1
MF115a	5.40677686	mono1
MF115a	5.068107438	mono1
MF115a	5.70253719	mono1
MF115a	5.335421488	mono1
MF115a	5.24461157	mono1
MF115a	5.315561983	mono1
MF131	1.278	mono1
MF131	1.356404959	mono1
MF131	1.579206612	mono1
MF131	0.842975207	mono1
MF131	2.607553719	mono1
MF131	1.768867769	mono1
MF131	1.174743802	mono1
MF131	1.860991736	mono1
MF131	2.217867769	mono1
MF131	1.735710744	mono1
MF135	4.517702479	mono1
MF135	3.35077686	mono1
MF135	3.012272727	mono1
MF135	3.968876033	mono1
MF135	5.11231405	mono1
MF135	4.28868595	mono1
MF135	4.811512397	mono1
MF135	4.16831405	mono1
MF135	3.921115702	mono1
MF135	4.09931405	mono1
MF137	5.811132231	mono1
MF137	5.74046281	mono1
MF137	5.684123967	mono1
MF137	6.462876033	mono1
MF137	5.758140496	mono1
MF137	5.64614876	mono1
MF137	4.985016529	mono1
MF137	5.714165289	mono1
MF137	5.878958678	mono1
MF157	3.91531405	mono1
MF157	3.557917355	mono1
MF157	3.676198347	mono1
MF157	3.004917355	mono1
MF157	4.743380165	mono1
MF157	2.975619835	mono1
MF157	5.747628099	mono1
MF157	3.451983471	mono1
MF157	3.451983471	mono1
MF161	1.686677686	mono1
MF161	1.322446281	mono1
MF161	0.705198347	mono1
MF161	1.215884298	mono1
MF161	0.621818182	mono1
MF161	1.331710744	mono1
MF161	1.201644628	mono1
MF161	1.169504132	mono1
MF161	0.999454545	mono1
MF161	1.142917355	mono1
MF162	1.89746281	mono1
MF162	1.739958678	mono1
MF162	1.463016529	mono1
MF162	1.284	mono1
MF162	1.459231405	mono1
MF162	2.119214876	mono1
MF162	1.418652893	mono1
MF162	1.826818182	mono1
MF162	1.780297521	mono1
MF162	1.835380165	mono1
MF164	3.79468595	mono1
MF164	4.963694215	mono1
MF164	5.287041322	mono1
MF164	5.405471074	mono1
MF164	5.349231405	mono1
MF164	4.898876033	mono1
MF164	4.14168595	mono1
MF164	4.840743802	mono1
MF164	4.563057851	mono1
MF164	3.694214876	mono1
MF197a	5.976033058	mono1
MF197a	6.199586777	mono1
MF197a	5.906082645	mono1
MF197a	6.152809917	mono1
MF197a	6.849438017	mono1
MF197a	5.950669421	mono1
MF197a	5.975669421	mono1
MF197a	5.679041322	mono1
MF197a	5.033115702	mono1
MF197a	5.455446281	mono1
MF21	4.948066116	mono1
MF21	4.659181818	mono1
MF21	4.516479339	mono1
MF21	3.949702479	mono1
MF21	3.48168595	mono1
MF21	4.239669421	mono1
MF21	4.34231405	mono1
MF21	4.34231405	mono1
MF21	5.246016529	mono1
MF21	3.498066116	mono1
MF23	2.865429752	mono1
MF23	2.388413223	mono1
MF23	2.467033058	mono1
MF23	2.223404959	mono1
MF23	2.856520661	mono1
MF23	2.553842975	mono1
MF23	2.312305785	mono1
MF23	2.817404959	mono1
MF23	2.333876033	mono1
MF231	0.570669421	mono1
MF231	0.371438017	mono1
MF231	0.606413223	mono1
MF231	0.320933884	mono1
MF231	0.459256198	mono1
MF231	0.317942149	mono1
MF231	0.384454545	mono1
MF231	0.589966942	mono1
MF231	0.408900826	mono1
MF231	0.712471074	mono1
MF254	1.271115702	mono1
MF254	1.074380165	mono1
MF254	0.67768595	mono1
MF254	0.959958678	mono1
MF254	0.699115702	mono1
MF254	0.65492562	mono1
MF254	0.513198347	mono1
MF254	1.090404959	mono1
MF254	0.729710744	mono1
MF254	1.215743802	mono1
MF26	0.694661157	mono1
MF26	0.968214876	mono1
MF26	1.167132231	mono1
MF26	0.972016529	mono1
MF26	1.004669421	mono1
MF26	1.082421488	mono1
MF26	0.774966942	mono1
MF26	0.530024793	mono1
MF26	1.075586777	mono1
MF261	6.061867769	mono1
MF261	5.988826446	mono1
MF261	5.938884298	mono1
MF261	6.034785124	mono1
MF261	5.600504132	mono1
MF261	5.782760331	mono1
MF261	5.707867769	mono1
MF261	5.788975207	mono1
MF261	5.810016529	mono1
MF261	5.556429752	mono1
MF267	6.136950413	mono1
MF267	6.251082645	mono1
MF267	6.275123967	mono1
MF267	6.397123967	mono1
MF267	6.414016529	mono1
MF267	6.258206612	mono1
MF267	6.322363636	mono1
MF267	6.648371901	mono1
MF267	6.148206612	mono1
MF273	4.815090909	mono1
MF273	5.38222314	mono1
MF273	4.546933884	mono1
MF273	5.496140496	mono1
MF273	4.68746281	mono1
MF273	5.359041322	mono1
MF273	4.711330579	mono1
MF273	4.564206612	mono1
MF273	4.469694215	mono1
MF279	5.484942149	mono1
MF279	5.603528926	mono1
MF279	5.186619835	mono1
MF279	5.416090909	mono1
MF279	5.575809917	mono1
MF279	5.656917355	mono1
MF279	5.659471074	mono1
MF279	5.894363636	mono1
MF280	4.859570248	mono1
MF280	5.430661157	mono1
MF280	5.70253719	mono1
MF280	5.218165289	mono1
MF280	5.531090909	mono1
MF280	5.455446281	mono1
MF280	5.157975207	mono1
MF280	5.680338843	mono1
MF280	5.058396694	mono1
MF283	5.27953719	mono1
MF283	4.925090909	mono1
MF283	5.603528926	mono1
MF283	4.731123967	mono1
MF283	5.288033058	mono1
MF283	5.404785124	mono1
MF283	5.82961157	mono1
MF283	4.686214876	mono1
MF29	4.530206612	mono1
MF29	5.543801653	mono1
MF29	5.43931405	mono1
MF29	5.513561983	mono1
MF29	5.173801653	mono1
MF29	5.854603306	mono1
MF29	5.16185124	mono1
MF29	4.900380165	mono1
MF29	4.884735537	mono1
MF292	5.329710744	mono1
MF292	5.263272727	mono1
MF292	5.750892562	mono1
MF292	6.054107438	mono1
MF292	5.320595041	mono1
MF292	5.750892562	mono1
MF292	5.807421488	mono1
MF292	5.653380165	mono1
MF292	5.331272727	mono1
MF31	5.36477686	mono1
MF31	5.563066116	mono1
MF31	5.232876033	mono1
MF31	5.42131405	mono1
MF31	5.612570248	mono1
MF31	4.564206612	mono1
MF31	4.170008264	mono1
MF31	4.64431405	mono1
MF31	5.186619835	mono1
MF31	5.120958678	mono1
MF314	5.393	mono1
MF314	5.084818182	mono1
MF314	5.13438843	mono1
MF314	5.593917355	mono1
MF314	5.432528926	mono1
MF314	5.695363636	mono1
MF314	5.034586777	mono1
MF314	4.682471074	mono1
MF323	5.057909091	mono1
MF323	5.859057851	mono1
MF323	5.443264463	mono1
MF323	5.391347107	mono1
MF323	4.795966942	mono1
MF323	5.351008264	mono1
MF323	5.581214876	mono1
MF323	5.716264463	mono1
MF327	0.896	mono1
MF327	1.017735537	mono1
MF327	0.893942149	mono1
MF327	0.476909091	mono1
MF327	0.501413223	mono1
MF327	0.824173554	mono1
MF327	0.680801653	mono1
MF327	1.122570248	mono1
MF327	1.215884298	mono1
MF339	5.68985124	mono1
MF339	4.585975207	mono1
MF339	6.021322314	mono1
MF339	6.002355372	mono1
MF339	5.927487603	mono1
MF339	6.281099174	mono1
MF339	5.772760331	mono1
MF339	5.753190083	mono1
MF339	5.467264463	mono1
MF340	6.646520661	mono1
MF340	6.357413223	mono1
MF340	6.490041322	mono1
MF340	6.202363636	mono1
MF340	6.377735537	mono1
MF340	6.319008264	mono1
MF340	6.16677686	mono1
MF340	5.509710744	mono1
MF360	5.057181818	mono1
MF360	6.620991736	mono1
MF360	6.479099174	mono1
MF360	5.785363636	mono1
MF360	6.083834711	mono1
MF360	6.229264463	mono1
MF360	6.434256198	mono1
MF360	6.113719008	mono1
MF360	5.703826446	mono1
MF362	5.839933884	mono1
MF362	4.343371901	mono1
MF362	4.814008264	mono1
MF362	5.382966942	mono1
MF362	5.231636364	mono1
MF362	4.763495868	mono1
MF362	5.555710744	mono1
MF363	5.414561983	mono1
MF363	5.960528926	mono1
MF363	5.610157025	mono1
MF363	5.771322314	mono1
MF363	5.133190083	mono1
MF363	5.56968595	mono1
MF363	5.97314876	mono1
MF363	4.736578512	mono1
MF363	5.481752066	mono1
MF363	4.970809917	mono1
MF380	5.906264463	mono1
MF380	5.598595041	mono1
MF380	6.049950413	mono1
MF380	5.875099174	mono1
MF380	5.605917355	mono1
MF380	6.14307438	mono1
MF380	4.826561983	mono1
MF380	5.516305785	mono1
MF445	5.58922314	mono1
MF445	5.454545455	mono1
MF445	6.451785124	mono1
MF445	5.904785124	mono1
MF445	5.289355372	mono1
MF445	5.950413223	mono1
MF445	5.961512397	mono1
MF445	5.068644628	mono1
MF445	5.238181818	mono1
MF445	6.003983471	mono1
MF466	5.236165289	mono1
MF466	5.603363636	mono1
MF466	5.896917355	mono1
MF466	5.736338843	mono1
MF466	6.389289256	mono1
MF466	5.829033058	mono1
MF466	6.404809917	mono1
MF466	6.347975207	mono1
MF466	5.969033058	mono1
MF467	5.653380165	mono1
MF467	5.653107438	mono1
MF467	4.951231405	mono1
MF467	5.320595041	mono1
MF467	5.281512397	mono1
MF467	4.762652893	mono1
MF467	5.307231405	mono1
MF467	5.925669421	mono1
MF467	5.139471074	mono1
MF467	5.334264463	mono1
MF49	4.211231405	mono1
MF49	4.214876033	mono1
MF49	3.608016529	mono1
MF49	4.440512397	mono1
MF49	4.116900826	mono1
MF49	3.89453719	mono1
MF49	3.776743802	mono1
MF49	3.64538843	mono1
MF49	3.398140496	mono1
MF49	3.522842975	mono1
MF501a	6.079438017	mono1
MF501a	6.371322314	mono1
MF501a	6.889396694	mono1
MF501a	7.016702479	mono1
MF501a	5.933289256	mono1
MF501a	6.730115702	mono1
MF501a	5.454661157	mono1
MF501a	5.976033058	mono1
MF501a	6.699768595	mono1
MF501a	6.473404959	mono1
MF509	5.752066116	mono1
MF509	4.914661157	mono1
MF509	3.481768595	mono1
MF509	5.628586777	mono1
MF509	5.406380165	mono1
MF509	5.126900826	mono1
MF509	4.244305785	mono1
MF509	5.654247934	mono1
MF509	5.771909091	mono1
MF509	4.587041322	mono1
MF77	5.328909091	mono1
MF77	5.207553719	mono1
MF77	5.246363636	mono1
MF77	5.355429752	mono1
MF77	4.985016529	mono1
MF77	5.682066116	mono1
MF77	5.531090909	mono1
MF77	5.14568595	mono1
MF77	4.314123967	mono1
MF77	4.309917355	mono1
MF88	5.305785124	mono1
MF88	5.330809917	mono1
MF88	5.21038843	mono1
MF88	5.91253719	mono1
MF88	5.11038843	mono1
MF88	4.339975207	mono1
MF88	5.262041322	mono1
MF88	4.995545455	mono1
MF88	5.504190083	mono1
MF88	5.459107438	mono1
MF88	5.604677686	mono1
MF9	3.77161157	mono1
MF9	3.361768595	mono1
MF9	3.063661157	mono1
MF9	3.434396694	mono1
MF9	4.225438017	mono1
MF9	3.807942149	mono1
MF9	3.103438017	mono1
MF9	3.980710744	mono1
MF9	3.133495868	mono1
MF92	5.424008264	mono1
MF92	5.687487603	mono1
MF92	6.218041322	mono1
MF92	6.456528926	mono1
MF92	6.876033058	mono1
MF92	5.454545455	mono1
MF92	6.286553719	mono1
MF92	5.913570248	mono1
MF92	5.441206612	mono1
MF98a	5.755487603	mono1
MF98a	4.388107438	mono1
MF98a	6.016619835	mono1
MF98a	6.355710744	mono1
MF98a	6.181909091	mono1
MF98a	6.097809917	mono1
MF98a	5.722446281	mono1
MF98a	5.899966942	mono1
MF98a	5.256305785	mono1
MF98a	5.223561983	mono1
MF17	5.381082645	mono1
MF17	5.356809917	mono1
MF17	5.208735537	mono1
MF17	5.132768595	mono1
MF17	5.275107438	mono1
MF17	5.058826446	mono1
MF17	5.025966942	mono1
MF17	5.315561983	mono1
MF17	4.976561983	mono1
MF17	4.738719008	mono1
MF20	5.519578512	mono1
MF20	4.702190083	mono1
MF20	5.729471074	mono1
MF20	5.726198347	mono1
MF20	4.765297521	mono1
MF20	5.331446281	mono1
MF20	5.604181818	mono1
MF20	5.309487603	mono1
MF20	5.904157025	mono1
MF20	5.25268595	mono1
MF496	5.625206612	mono1
MF496	5.611198347	mono1
MF496	5.170413223	mono1
MF496	5.543140496	mono1
MF496	5.612842975	mono1
MF496	6	mono1
MF496	5.504190083	mono1
MF496	5.20685124	mono1
MF496	5.400752066	mono1
MF496	5.612842975	mono1
NB	6.375561983	mono1
NB	6.665545455	mono1
NB	6.343719008	mono1
NB	5.85092562	mono1
NB	6.074380165	mono1
NB	6.656132231	mono1
NB	6.500595041	mono1
NB	6.269586777	mono1
