Treatment	MainRoot	Type	Specific	InhibitedStrain	InhibitorStrain
MF224-MF455	1.1151818182	Duo	Duo	MF224	MF455
MF224-MF455	2.0176115702	Duo	Duo	MF224	MF455
MF224-MF455	1.5332727273	Duo	Duo	MF224	MF455
MF224-MF455	1.1921487603	Duo	Duo	MF224	MF455
MF224-MF455	1.4330661157	Duo	Duo	MF224	MF455
MF224-MF455	0.7854297521	Duo	Duo	MF224	MF455
MF224-MF455	1.5629256198	Duo	Duo	MF224	MF455
MF224-MF455	1.1651404959	Duo	Duo	MF224	MF455
MF224-MF455	1.1725041322	Duo	Duo	MF224	MF455
MF224-MF455	1.3392479339	Duo	Duo	MF224	MF455
MF224-CL144	3.7417107438	Duo	Duo	MF224	CL144
MF224-CL144	1.8365702479	Duo	Duo	MF224	CL144
MF224-CL144	1.8181818182	Duo	Duo	MF224	CL144
MF224-CL144	1.1746033058	Duo	Duo	MF224	CL144
MF224-CL144	0.6061818182	Duo	Duo	MF224	CL144
MF224-CL144	1.0295785124	Duo	Duo	MF224	CL144
MF224-CL144	0.9048760331	Duo	Duo	MF224	CL144
MF224-CL144	0.962661157	Duo	Duo	MF224	CL144
MF224-CL144	3.2435867769	Duo	Duo	MF224	CL144
MF224-CL21	1.4549173554	Duo	Duo	MF224	CL21
MF224-CL21	0.8141239669	Duo	Duo	MF224	CL21
MF224-CL21	0.8914876033	Duo	Duo	MF224	CL21
MF224-CL21	1.1637355372	Duo	Duo	MF224	CL21
MF224-CL21	0.8532809917	Duo	Duo	MF224	CL21
MF224-CL21	1.289785124	Duo	Duo	MF224	CL21
MF224-CL21	0.4145454545	Duo	Duo	MF224	CL21
MF224-CL21	0.7124710744	Duo	Duo	MF224	CL21
MF224-CL21	1.2123719008	Duo	Duo	MF224	CL21
MF224-CL21	1.0904049587	Duo	Duo	MF224	CL21
MF224-CL71	1.7992231405	Duo	Duo	MF224	CL71
MF224-CL71	2.541	Duo	Duo	MF224	CL71
MF224-CL71	1.3160991736	Duo	Duo	MF224	CL71
MF224-CL71	1.2731570248	Duo	Duo	MF224	CL71
MF224-CL71	0.5437024793	Duo	Duo	MF224	CL71
MF224-CL71	1.4276280992	Duo	Duo	MF224	CL71
MF224-CL71	1.2649752066	Duo	Duo	MF224	CL71
MF224-CL71	1.2105702479	Duo	Duo	MF224	CL71
MF224-CL71	0.9588181818	Duo	Duo	MF224	CL71
MF224-CL71	1.3207603306	Duo	Duo	MF224	CL71
MF224-MF220A	3.0605289256	Duo	Duo	MF224	MF220A
MF224-MF220A	3.4717024793	Duo	Duo	MF224	MF220A
MF224-MF220A	3.139322314	Duo	Duo	MF224	MF220A
MF224-MF220A	2.3766033058	Duo	Duo	MF224	MF220A
MF224-MF220A	2.9465123967	Duo	Duo	MF224	MF220A
MF224-MF220A	2.6500495868	Duo	Duo	MF224	MF220A
MF224-MF220A	2.5384132231	Duo	Duo	MF224	MF220A
MF224-MF220A	2.4963636364	Duo	Duo	MF224	MF220A
MF224-MF220A	2.7252644628	Duo	Duo	MF224	MF220A
MF224-MF397	2.5508181818	Duo	Duo	MF224	MF397
MF224-MF397	3.0083057851	Duo	Duo	MF224	MF397
MF224-MF397	2.2750578512	Duo	Duo	MF224	MF397
MF224-MF397	2.2323801653	Duo	Duo	MF224	MF397
MF224-MF397	2.1465950413	Duo	Duo	MF224	MF397
MF224-MF397	2.0198429752	Duo	Duo	MF224	MF397
MF224-MF397	2.3499586777	Duo	Duo	MF224	MF397
MF224-MF397	2.2344049587	Duo	Duo	MF224	MF397
MF224-MF397	3.3768016529	Duo	Duo	MF224	MF397
MF224-MF397	2.4901157025	Duo	Duo	MF224	MF397
MF224-MF369	6.8982892562	Duo	Duo	MF224	MF369
MF224-MF369	6.8474628099	Duo	Duo	MF224	MF369
MF224-MF369	6.7926446281	Duo	Duo	MF224	MF369
MF224-MF369	6.8436942149	Duo	Duo	MF224	MF369
MF224-MF369	7.2066115702	Duo	Duo	MF224	MF369
MF224-MF369	6.6068760331	Duo	Duo	MF224	MF369
MF224-MF369	6.2335950413	Duo	Duo	MF224	MF369
MF224-MF369	4.8389090909	Duo	Duo	MF224	MF369
MF224-MF369	6.4397933884	Duo	Duo	MF224	MF369
MF224-MF349	5.9988842975	Duo	Duo	MF224	MF349
MF224-MF349	5.7521570248	Duo	Duo	MF224	MF349
MF224-MF349	5.6364628099	Duo	Duo	MF224	MF349
MF224-MF349	6.3497107438	Duo	Duo	MF224	MF349
MF224-MF349	5.9889008264	Duo	Duo	MF224	MF349
MF224-MF349	5.9027024793	Duo	Duo	MF224	MF349
MF224-MF349	5.4058677686	Duo	Duo	MF224	MF349
MF224-MF349	6.2487190083	Duo	Duo	MF224	MF349
MF224-MF349	5.7851487603	Duo	Duo	MF224	MF349
MF224-MF278	5.2082892562	Duo	Duo	MF224	MF278
MF224-MF278	3.8535123967	Duo	Duo	MF224	MF278
MF224-MF278	3.802553719	Duo	Duo	MF224	MF278
MF224-MF278	4.8154793388	Duo	Duo	MF224	MF278
MF224-MF278	5.4049586777	Duo	Duo	MF224	MF278
MF224-MF278	5.4461487603	Duo	Duo	MF224	MF278
MF224-MF278	5.8848760331	Duo	Duo	MF224	MF278
MF224-MF278	5.3227272727	Duo	Duo	MF224	MF278
MF224-MF278	5.4577520661	Duo	Duo	MF224	MF278
MF224-MF278	3.9736859504	Duo	Duo	MF224	MF278
MF224-MF110	7.4482561983	Duo	Duo	MF224	MF110
MF224-MF110	8.2906363636	Duo	Duo	MF224	MF110
MF224-MF110	7.8289421488	Duo	Duo	MF224	MF110
MF224-MF110	7.803338843	Duo	Duo	MF224	MF110
MF224-MF110	7.7498677686	Duo	Duo	MF224	MF110
MF224-MF110	6.4467107438	Duo	Duo	MF224	MF110
MF224-MF110	7.190768595	Duo	Duo	MF224	MF110
MF224-MF110	7.1762644628	Duo	Duo	MF224	MF110
MF224-MF110	7.102	Duo	Duo	MF224	MF110
MF224-MF110	7.0910826446	Duo	Duo	MF224	MF110
MF224-MF375	5.7904628099	Duo	Duo	MF224	MF375
MF224-MF375	5.8509256198	Duo	Duo	MF224	MF375
MF224-MF375	5.965322314	Duo	Duo	MF224	MF375
MF224-MF375	4.0294380165	Duo	Duo	MF224	MF375
MF224-MF375	6.1879256198	Duo	Duo	MF224	MF375
MF224-MF375	5.6005041322	Duo	Duo	MF224	MF375
MF224-MF375	6.1352479339	Duo	Duo	MF224	MF375
MF224-MF375	6.1991404959	Duo	Duo	MF224	MF375
MF224-MF375	6.2638512397	Duo	Duo	MF224	MF375
MF224-MF160	6.7443057851	Duo	Duo	MF224	MF160
MF224-MF160	5.3400991736	Duo	Duo	MF224	MF160
MF224-MF160	6.6614876033	Duo	Duo	MF224	MF160
MF224-MF160	6.7455206612	Duo	Duo	MF224	MF160
MF224-MF160	7.1070909091	Duo	Duo	MF224	MF160
MF224-MF160	7.1919834711	Duo	Duo	MF224	MF160
MF224-MF160	6.794677686	Duo	Duo	MF224	MF160
MF224-MF160	6.2942479339	Duo	Duo	MF224	MF160
MF224-MF160	6.5129173554	Duo	Duo	MF224	MF160
MF224-MF160	6.1967355372	Duo	Duo	MF224	MF160
MF224-CL14	4.9090909091	Duo	Duo	MF224	CL14
MF224-CL14	5.3061983471	Duo	Duo	MF224	CL14
MF224-CL14	4.4428677686	Duo	Duo	MF224	CL14
MF224-CL14	5.0510909091	Duo	Duo	MF224	CL14
MF224-CL14	4.9609090909	Duo	Duo	MF224	CL14
MF224-CL14	5.3205950413	Duo	Duo	MF224	CL14
MF224-CL14	4.863553719	Duo	Duo	MF224	CL14
MF224-CL14	5.1335785124	Duo	Duo	MF224	CL14
MF224-CL14	4.0021818182	Duo	Duo	MF224	CL14
MF224-MF350	7.190768595	Duo	Duo	MF224	MF350
MF224-MF350	7.6293553719	Duo	Duo	MF224	MF350
MF224-MF350	7.2519256198	Duo	Duo	MF224	MF350
MF224-MF350	7.4968347107	Duo	Duo	MF224	MF350
MF224-MF350	6.6512892562	Duo	Duo	MF224	MF350
MF224-MF350	6.4322479339	Duo	Duo	MF224	MF350
MF224-MF350	6.1862892562	Duo	Duo	MF224	MF350
MF224-MF350	6.1137190083	Duo	Duo	MF224	MF350
MF224-MF350	6.1995867769	Duo	Duo	MF224	MF350
MF224-MF4	6.4779090909	Duo	Duo	MF224	MF4
MF224-MF4	5.9110247934	Duo	Duo	MF224	MF4
MF224-MF4	7.1365785124	Duo	Duo	MF224	MF4
MF224-MF4	7.0366033058	Duo	Duo	MF224	MF4
MF224-MF4	6.1775867769	Duo	Duo	MF224	MF4
MF224-MF4	6.9534710744	Duo	Duo	MF224	MF4
MF224-MF4	6.7678677686	Duo	Duo	MF224	MF4
MF224-MF4	6.3726694215	Duo	Duo	MF224	MF4
MF224-MF4	5.4795619835	Duo	Duo	MF224	MF4
MF224-CL11	2.5071983471	Duo	Duo	MF224	CL11
MF224-CL11	1.5621818182	Duo	Duo	MF224	CL11
MF224-CL11	1.7852975207	Duo	Duo	MF224	CL11
MF224-CL11	2.412231405	Duo	Duo	MF224	CL11
MF224-CL11	2.4838016529	Duo	Duo	MF224	CL11
MF224-CL11	1.4894628099	Duo	Duo	MF224	CL11
MF224-CL11	3.6536363636	Duo	Duo	MF224	CL11
MF224-MF384	3.8297520661	Duo	Duo	MF224	MF384
MF224-MF384	3.4724876033	Duo	Duo	MF224	MF384
MF224-MF384	2.8929834711	Duo	Duo	MF224	MF384
MF224-MF384	2.4683471074	Duo	Duo	MF224	MF384
MF224-MF384	2.3455371901	Duo	Duo	MF224	MF384
MF224-MF384	1.453231405	Duo	Duo	MF224	MF384
MF224-MF384	2.2980578512	Duo	Duo	MF224	MF384
MF224-MF384	2.4306528926	Duo	Duo	MF224	MF384
MF224-MF45	1.6899173554	Duo	Duo	MF224	MF45
MF224-MF45	3.0607107438	Duo	Duo	MF224	MF45
MF224-MF45	2.5473884298	Duo	Duo	MF224	MF45
MF224-MF45	2.926785124	Duo	Duo	MF224	MF45
MF224-MF45	2.8074876033	Duo	Duo	MF224	MF45
MF224-MF45	3.2072892562	Duo	Duo	MF224	MF45
MF224-MF45	2.9642561983	Duo	Duo	MF224	MF45
MF224-MF45	2.6167933884	Duo	Duo	MF224	MF45
MF224-MF45	0.8939421488	Duo	Duo	MF224	MF45
MF224-MF45	2.5380413223	Duo	Duo	MF224	MF45
MF48	0.298553719	Mono	Short	MF48	NB
MF48	1.0177355372	Mono	Short	MF48	NB
MF48	1.2647024793	Mono	Short	MF48	NB
MF48	1.4272892562	Mono	Short	MF48	NB
MF48	0.5177024793	Mono	Short	MF48	NB
MF48	0.1568099174	Mono	Short	MF48	NB
MF48	0.2231404959	Mono	Short	MF48	NB
MF48	0.4571652893	Mono	Short	MF48	NB
MF48	0.298553719	Mono	Short	MF48	NB
MF48-MF455	0.6564380165	Duo	Duo	MF48	MF455
MF48-MF455	0.570785124	Duo	Duo	MF48	MF455
MF48-MF455	1.317785124	Duo	Duo	MF48	MF455
MF48-MF455	0.5702479339	Duo	Duo	MF48	MF455
MF48-MF455	0.645107438	Duo	Duo	MF48	MF455
MF48-MF455	0.4883719008	Duo	Duo	MF48	MF455
MF48-MF455	0.5259504132	Duo	Duo	MF48	MF455
MF48-MF455	1.8100909091	Duo	Duo	MF48	MF455
MF48-MF455	2.2908099174	Duo	Duo	MF48	MF455
MF48-MF455	2.1074380165	Duo	Duo	MF48	MF455
MF48-CL144	2.0056115702	Duo	Duo	MF48	CL144
MF48-CL144	1.2626363636	Duo	Duo	MF48	CL144
MF48-CL144	1.0079421488	Duo	Duo	MF48	CL144
MF48-CL144	1.326446281	Duo	Duo	MF48	CL144
MF48-CL144	1.3186446281	Duo	Duo	MF48	CL144
MF48-CL144	1.3777272727	Duo	Duo	MF48	CL144
MF48-CL144	1.4480330579	Duo	Duo	MF48	CL144
MF48-CL144	2.2970495868	Duo	Duo	MF48	CL144
MF48-CL144	1.7587190083	Duo	Duo	MF48	CL144
MF48-CL144	1.7350743802	Duo	Duo	MF48	CL144
MF48-CL21	1.1289834711	Duo	Duo	MF48	CL21
MF48-CL21	1.7041900826	Duo	Duo	MF48	CL21
MF48-CL21	1.8050826446	Duo	Duo	MF48	CL21
MF48-CL21	0.5782644628	Duo	Duo	MF48	CL21
MF48-CL21	1.1501322314	Duo	Duo	MF48	CL21
MF48-CL21	1.995785124	Duo	Duo	MF48	CL21
MF48-CL21	3.578553719	Duo	Duo	MF48	CL21
MF48-CL21	0.7294297521	Duo	Duo	MF48	CL21
MF48-CL21	2.4776942149	Duo	Duo	MF48	CL21
MF48-CL21	2.2374049587	Duo	Duo	MF48	CL21
MF48-CL71	1.1033636364	Duo	Duo	MF48	CL71
MF48-CL71	1.3260247934	Duo	Duo	MF48	CL71
MF48-CL71	1.1589090909	Duo	Duo	MF48	CL71
MF48-CL71	0.7012644628	Duo	Duo	MF48	CL71
MF48-CL71	0.8752561983	Duo	Duo	MF48	CL71
MF48-CL71	0.5299586777	Duo	Duo	MF48	CL71
MF48-CL71	1.5296198347	Duo	Duo	MF48	CL71
MF48-CL71	1.0929090909	Duo	Duo	MF48	CL71
MF48-MF220A	0.3980661157	Duo	Duo	MF48	MF220A
MF48-MF220A	0.9939338843	Duo	Duo	MF48	MF220A
MF48-MF220A	0.827107438	Duo	Duo	MF48	MF220A
MF48-MF220A	0.5987024793	Duo	Duo	MF48	MF220A
MF48-MF220A	0.7940743802	Duo	Duo	MF48	MF220A
MF48-MF220A	1.6198347107	Duo	Duo	MF48	MF220A
MF48-MF220A	1.0269256198	Duo	Duo	MF48	MF220A
MF48-MF220A	1.2391157025	Duo	Duo	MF48	MF220A
MF48-MF220A	1.4218760331	Duo	Duo	MF48	MF220A
MF48-MF369	2.4186528926	Duo	Duo	MF48	MF369
MF48-MF369	2.1913140496	Duo	Duo	MF48	MF369
MF48-MF369	2.0294958678	Duo	Duo	MF48	MF369
MF48-MF369	1.6677024793	Duo	Duo	MF48	MF369
MF48-MF369	1.2271570248	Duo	Duo	MF48	MF369
MF48-MF369	1.2631404959	Duo	Duo	MF48	MF369
MF48-MF369	2.744	Duo	Duo	MF48	MF369
MF48-MF369	1.2566363636	Duo	Duo	MF48	MF369
MF48-MF369	3.385	Duo	Duo	MF48	MF369
MF48-MF397	1.8541900826	Duo	Duo	MF48	MF397
MF48-MF397	2.1200909091	Duo	Duo	MF48	MF397
MF48-MF397	1.289677686	Duo	Duo	MF48	MF397
MF48-MF397	2.3884132231	Duo	Duo	MF48	MF397
MF48-MF397	2.1908181818	Duo	Duo	MF48	MF397
MF48-MF397	1.9312727273	Duo	Duo	MF48	MF397
MF48-MF397	1.6690082645	Duo	Duo	MF48	MF397
MF48-MF397	2.1365206612	Duo	Duo	MF48	MF397
MF48-MF397	2.5920413223	Duo	Duo	MF48	MF397
MF48-MF349	2.4159421488	Duo	Duo	MF48	MF349
MF48-MF349	2.290553719	Duo	Duo	MF48	MF349
MF48-MF349	1.0954049587	Duo	Duo	MF48	MF349
MF48-MF349	1.0269256198	Duo	Duo	MF48	MF349
MF48-MF349	1.6198347107	Duo	Duo	MF48	MF349
MF48-MF349	1.8915371901	Duo	Duo	MF48	MF349
MF48-MF349	0.8290826446	Duo	Duo	MF48	MF349
MF48-MF349	1.8915371901	Duo	Duo	MF48	MF349
MF48-MF349	2.1198347107	Duo	Duo	MF48	MF349
MF48-MF349	2.2896033058	Duo	Duo	MF48	MF349
MF48-MF278	1.2015041322	Duo	Duo	MF48	MF278
MF48-MF278	1.3654132231	Duo	Duo	MF48	MF278
MF48-MF278	1.719322314	Duo	Duo	MF48	MF278
MF48-MF278	1.1589090909	Duo	Duo	MF48	MF278
MF48-MF278	1.7607768595	Duo	Duo	MF48	MF278
MF48-MF278	1.0269256198	Duo	Duo	MF48	MF278
MF48-MF278	2.5299504132	Duo	Duo	MF48	MF278
MF48-MF278	1.2271570248	Duo	Duo	MF48	MF278
MF48-MF278	0.4435206612	Duo	Duo	MF48	MF278
MF48-MF110	2.2067190083	Duo	Duo	MF48	MF110
MF48-MF110	1.5953636364	Duo	Duo	MF48	MF110
MF48-MF110	2.0519834711	Duo	Duo	MF48	MF110
MF48-MF110	2.3554710744	Duo	Duo	MF48	MF110
MF48-MF110	2.3803966942	Duo	Duo	MF48	MF110
MF48-MF110	2.3274710744	Duo	Duo	MF48	MF110
MF48-MF110	1.9076446281	Duo	Duo	MF48	MF110
MF48-MF110	0.3980661157	Duo	Duo	MF48	MF110
MF48-MF110	2.3178264463	Duo	Duo	MF48	MF110
MF48-MF110	1.4025289256	Duo	Duo	MF48	MF110
MF48-MF375	0.5330413223	Duo	Duo	MF48	MF375
MF48-MF375	0.5299586777	Duo	Duo	MF48	MF375
MF48-MF375	1.1905454545	Duo	Duo	MF48	MF375
MF48-MF375	1.9969256198	Duo	Duo	MF48	MF375
MF48-MF375	0.3371239669	Duo	Duo	MF48	MF375
MF48-MF375	2.2809917355	Duo	Duo	MF48	MF375
MF48-MF375	0.3695950413	Duo	Duo	MF48	MF375
MF48-MF375	1.9724214876	Duo	Duo	MF48	MF375
MF48-MF160	2.309322314	Duo	Duo	MF48	MF160
MF48-MF160	1.2064958678	Duo	Duo	MF48	MF160
MF48-MF160	1.5898760331	Duo	Duo	MF48	MF160
MF48-MF160	1.2588016529	Duo	Duo	MF48	MF160
MF48-MF160	1.7256694215	Duo	Duo	MF48	MF160
MF48-MF160	1.7851239669	Duo	Duo	MF48	MF160
MF48-MF160	1.571553719	Duo	Duo	MF48	MF160
MF48-MF160	1.559338843	Duo	Duo	MF48	MF160
MF48-MF160	1.1225041322	Duo	Duo	MF48	MF160
MF48-MF160	1.3698099174	Duo	Duo	MF48	MF160
MF48-CL14	0.6358842975	Duo	Duo	MF48	CL14
MF48-CL14	1.7632561983	Duo	Duo	MF48	CL14
MF48-CL14	1.9312727273	Duo	Duo	MF48	CL14
MF48-CL14	1.4033057851	Duo	Duo	MF48	CL14
MF48-CL14	1.4218760331	Duo	Duo	MF48	CL14
MF48-CL14	1.2631404959	Duo	Duo	MF48	CL14
MF48-CL14	0.7272727273	Duo	Duo	MF48	CL14
MF48-CL14	1.3223140496	Duo	Duo	MF48	CL14
MF48-CL14	1.8423636364	Duo	Duo	MF48	CL14
MF48-MF350	1.6532231405	Duo	Duo	MF48	MF350
MF48-MF350	2.1198347107	Duo	Duo	MF48	MF350
MF48-MF350	2.3803966942	Duo	Duo	MF48	MF350
MF48-MF350	2.0490495868	Duo	Duo	MF48	MF350
MF48-MF350	1.7269338843	Duo	Duo	MF48	MF350
MF48-MF350	1.9004710744	Duo	Duo	MF48	MF350
MF48-MF350	1.8121652893	Duo	Duo	MF48	MF350
MF48-MF350	1.6532231405	Duo	Duo	MF48	MF350
MF48-MF350	2.2296280992	Duo	Duo	MF48	MF350
MF48-MF350	2.1167355372	Duo	Duo	MF48	MF350
MF48-MF4	3.1516115702	Duo	Duo	MF48	MF4
MF48-MF4	2.3142892562	Duo	Duo	MF48	MF4
MF48-MF4	2.4872561983	Duo	Duo	MF48	MF4
MF48-MF4	0.9350165289	Duo	Duo	MF48	MF4
MF48-MF4	1.7458181818	Duo	Duo	MF48	MF4
MF48-MF4	1.8932644628	Duo	Duo	MF48	MF4
MF48-MF4	2.6466942149	Duo	Duo	MF48	MF4
MF48-MF4	1.9903471074	Duo	Duo	MF48	MF4
MF48-MF4	1.571553719	Duo	Duo	MF48	MF4
MF48-CL11	1.893553719	Duo	Duo	MF48	CL11
MF48-CL11	1.8609504132	Duo	Duo	MF48	CL11
MF48-CL11	1.0599173554	Duo	Duo	MF48	CL11
MF48-CL11	0.6358842975	Duo	Duo	MF48	CL11
MF48-CL11	0.3651322314	Duo	Duo	MF48	CL11
MF48-CL11	1.6940330579	Duo	Duo	MF48	CL11
MF48-CL11	1.6469338843	Duo	Duo	MF48	CL11
MF48-CL11	1.9036280992	Duo	Duo	MF48	CL11
MF48-CL11	2.5608595041	Duo	Duo	MF48	CL11
MF48-CL11	0.8696198347	Duo	Duo	MF48	CL11
MF48-MF384	2.8767933884	Duo	Duo	MF48	MF384
MF48-MF384	2.0010247934	Duo	Duo	MF48	MF384
MF48-MF384	1.168768595	Duo	Duo	MF48	MF384
MF48-MF384	2.8447024793	Duo	Duo	MF48	MF384
MF48-MF384	3.3520743802	Duo	Duo	MF48	MF384
MF48-MF384	2.6850247934	Duo	Duo	MF48	MF384
MF48-MF384	4.8784710744	Duo	Duo	MF48	MF384
MF48-MF384	2.0538512397	Duo	Duo	MF48	MF384
MF48-MF384	2.4141322314	Duo	Duo	MF48	MF384
MF48-MF384	3.6369669421	Duo	Duo	MF48	MF384
MF48-MF45	2.7776446281	Duo	Duo	MF48	MF45
MF48-MF45	2.946785124	Duo	Duo	MF48	MF45
MF48-MF45	2.8705206612	Duo	Duo	MF48	MF45
MF48-MF45	3.3059504132	Duo	Duo	MF48	MF45
MF48-MF45	3.2438842975	Duo	Duo	MF48	MF45
MF48-MF45	3.0128016529	Duo	Duo	MF48	MF45
MF48-MF45	3.5757520661	Duo	Duo	MF48	MF45
MF48-MF45	3.2733966942	Duo	Duo	MF48	MF45
MF48-MF45	3.2352809917	Duo	Duo	MF48	MF45
MF48-MF45	3.1654545455	Duo	Duo	MF48	MF45
