Length	Strain1	Strain2
5.157264463	NB	NB
3.499644628	NB	NB
4.467214876	NB	NB
4.860512397	NB	NB
4.649801653	NB	NB
4.643719008	NB	NB
5.014396694	NB	NB
5.092735537	NB	NB
5.559247934	NB	NB
5.058090909	NB	NB
4.815677686	YR266	NB
3.149008264	YR266	NB
4.925619835	YR266	NB
4.490272727	YR266	NB
4.571198347	YR266	NB
4.859950413	YR266	NB
4.002181818	YR266	NB
4.237727273	YR266	NB
4.099710744	YR266	NB
6.089917355	PDC80	NB
5.56561157	PDC80	NB
5.930636364	PDC80	NB
2.071066116	PDC80	NB
5.686818182	PDC80	NB
3.870595041	PDC80	NB
5.488	PDC80	NB
5.193867769	PDC80	NB
5.013140496	PDC80	NB
3.275396694	PDC80	NB
5.130785124	CF313	NB
5.207842975	CF313	NB
5.785214876	CF313	NB
5.653280992	CF313	NB
5.812355372	CF313	NB
5.258793388	CF313	NB
5.887636364	CF313	NB
5.657628099	CF313	NB
5.030115702	CF313	NB
4.265619835	CF313	NB
5.83168595	Root219	NB
6.978264463	Root219	NB
6.423520661	Root219	NB
6.035842975	Root219	NB
4.596942149	Root219	NB
5.462652893	Root219	NB
6.606033058	Root219	NB
6.190652893	Root219	NB
6.184024793	Root219	NB
6.213644628	Root219	NB
4.79338843	Root411	NB
4.902380165	Root411	NB
5.493975207	Root411	NB
5.334719008	Root411	NB
5.759752066	Root411	NB
5.885785124	Root411	NB
5.589123967	Root411	NB
5.418768595	Root411	NB
6.513735537	Root411	NB
5.068107438	Root411	NB
5.827561983	YR216	NB
4.848247934	YR216	NB
5.487603306	YR216	NB
5.891818182	YR216	NB
5.421586777	YR216	NB
5.319024793	YR216	NB
4.969793388	YR216	NB
4.332595041	YR216	NB
4.54914876	YR216	NB
4.749876033	YR216	NB
6.043710744	OK605	NB
3.847942149	OK605	NB
5.947198347	OK605	NB
2.60885124	OK605	NB
5.899966942	OK605	NB
6.475033058	OK605	NB
6.034305785	OK605	NB
4.571677686	OK605	NB
5.991595041	OK605	NB
3.202520661	OK605	NB
5.044438017	Root318D1	NB
3.723669421	Root318D1	NB
4.331082645	Root318D1	NB
4.240305785	Root318D1	NB
3.90138843	Root318D1	NB
2.74877686	Root318D1	NB
3.471702479	Root318D1	NB
4.80261157	Root318D1	NB
4.582181818	Root318D1	NB
4.450545455	Root318D1	NB
4.793504132	Root473	NB
5.754438017	Root473	NB
5.441206612	Root473	NB
4.995677686	Root473	NB
5.322413223	Root473	NB
5.62138843	Root473	NB
5.123966942	Root473	NB
5.070909091	Root473	NB
4.96407438	Root473	NB
4.432834711	Root473	NB
5.043140496	CL14	NB
5.192710744	CL14	NB
5.334719008	CL14	NB
5.553818182	CL14	NB
5.559719008	CL14	NB
5.289768595	CL14	NB
5.328884298	CL14	NB
4.865008264	CL14	NB
3.80868595	CL14	NB
5.025768595	B4	NB
5.124396694	B4	NB
5.258793388	B4	NB
5.037933884	B4	NB
5.749884298	B4	NB
5.631586777	B4	NB
5.923264463	B4	NB
5.656371901	B4	NB
5.653280992	B4	NB
5.359247934	B4	NB
5.752917355	CL11	NB
5.753586777	CL11	NB
5.372586777	CL11	NB
5.572966942	CL11	NB
6.249330579	CL11	NB
5.328884298	CL11	NB
6.14885124	CL11	NB
6.089917355	CL11	NB
5.875099174	CL11	NB
5.291834711	CL11	NB
5.631586777	YR750	NB
5.638280992	YR750	NB
4.103966942	YR750	NB
5.917264463	YR750	NB
4.661628099	YR750	NB
3.772214876	YR750	NB
3.519694215	YR750	NB
5.210677686	YR750	NB
3.080768595	YR750	NB
5.582082645	YR750	NB
5.468950413	CF79	NB
5.752066116	CF79	NB
5.752917355	CF79	NB
5.530553719	CF79	NB
5.85161157	CF79	NB
6.019884298	CF79	NB
5.855809917	CF79	NB
5.624595041	CF79	NB
5.191239669	CF79	NB
5.327338843	CF79	NB
1.697578512	NB	CL28
1.342413223	NB	CL28
0.875256198	NB	CL28
0.799561983	NB	CL28
1.587123967	NB	CL28
1.000512397	NB	CL28
0.972826446	NB	CL28
1.029578512	NB	CL28
1.098892562	NB	CL28
1.164553719	NB	CL28
1.655867769	B4	CL28
1.571553719	B4	CL28
1.475801653	B4	CL28
1.45792562	B4	CL28
1.658173554	B4	CL28
1.435256198	B4	CL28
1.263140496	B4	CL28
3.905867769	B4	CL28
3.20814876	B4	CL28
2.029760331	B4	CL28
1.581950413	CL11	CL28
2.248173554	CL11	CL28
2.164975207	CL11	CL28
2.366578512	CL11	CL28
1.927586777	CL11	CL28
0.994487603	CL11	CL28
1.421876033	CL11	CL28
1.621181818	CL11	CL28
1.32231405	CL11	CL28
3.68146281	CL14	CL28
4.666198347	CL14	CL28
4.609404959	CL14	CL28
5.076826446	CL14	CL28
1.792760331	CL14	CL28
5.426421488	CL14	CL28
4.621719008	CL14	CL28
5.033595041	CL14	CL28
5.466652893	CL14	CL28
4.888206612	CL14	CL28
2.505859504	OF79	CL28
1.164553719	OF79	CL28
1.739231405	OF79	CL28
0.878371901	OF79	CL28
0.865206612	OF79	CL28
0.463991736	OF79	CL28
1.173900826	OF79	CL28
1.256198347	OF79	CL28
1.983743802	OF79	CL28
4.414553719	PDC80	CL28
4.79338843	PDC80	CL28
6.168719008	PDC80	CL28
6.556628099	PDC80	CL28
3.342933884	PDC80	CL28
2.936016529	PDC80	CL28
4.13553719	PDC80	CL28
5.553719008	PDC80	CL28
4.566289256	PDC80	CL28
5.031752066	PDC80	CL28
1.045380165	YR216	CL28
1.92446281	YR216	CL28
0.862041322	YR216	CL28
0.463991736	YR216	CL28
0.761049587	YR216	CL28
0.562958678	YR216	CL28
0.488090909	YR216	CL28
0.52892562	YR216	CL28
1.491636364	Root219	CL28
1.283735537	Root219	CL28
0.496966942	Root219	CL28
1.309859504	Root219	CL28
0.330578512	Root219	CL28
1.230264463	Root219	CL28
1.190545455	Root219	CL28
1.304421488	Root219	CL28
1.289256198	Root219	CL28
1.326024793	Root219	CL28
5.158404959	YR266	CL28
5.091016529	YR266	CL28
5.556272727	YR266	CL28
5.893578512	YR266	CL28
5.493975207	YR266	CL28
5.994512397	YR266	CL28
4.914404959	YR266	CL28
5.641669421	YR266	CL28
5.441809917	YR266	CL28
5.038371901	YR266	CL28
5.223247934	CF313	CL28
4.371644628	CF313	CL28
5.424008264	CF313	CL28
5.786256198	CF313	CL28
5.594694215	CF313	CL28
6.153115702	CF313	CL28
5.687487603	CF313	CL28
5.520760331	CF313	CL28
5.068644628	CF313	CL28
5.195239669	Root318D1	CL28
4.274826446	Root318D1	CL28
5.474545455	Root318D1	CL28
4.899702479	Root318D1	CL28
5.157446281	Root318D1	CL28
5.567867769	Root318D1	CL28
4.297644628	Root318D1	CL28
4.876115702	Root318D1	CL28
3.657338843	Root318D1	CL28
5.560107438	Root411	CL28
5.707528926	Root411	CL28
5.621975207	Root411	CL28
4.990421488	Root411	CL28
5.822123967	Root411	CL28
5.785214876	Root411	CL28
5.519768595	Root411	CL28
5.011727273	Root411	CL28
4.92838843	Root411	CL28
4.826446281	Root411	CL28
4.77831405	Root473	CL28
3.475008264	Root473	CL28
4.606917355	Root473	CL28
2.239413223	Root473	CL28
4.004917355	Root473	CL28
5.091016529	Root473	CL28
4.645066116	Root473	CL28
4.472719008	Root473	CL28
1.260107438	Root473	CL28
4.555991736	Root473	CL28
5.806520661	OK605	CL28
5.290909091	OK605	CL28
5.16761157	OK605	CL28
5.821561983	OK605	CL28
4.862991736	OK605	CL28
5.195553719	OK605	CL28
5.765727273	OK605	CL28
6.597752066	OK605	CL28
5.421181818	OK605	CL28
4.923842975	OK605	CL28
5.115429752	YR750	CL28
5.598595041	YR750	CL28
6.08561157	YR750	CL28
6.135768595	YR750	CL28
5.802099174	YR750	CL28
5.736561983	YR750	CL28
5.792768595	YR750	CL28
5.657628099	YR750	CL28
3.673140496	YR750	CL28
2.61177686	YR750	CL28
1.523892562	NB	MF48
0.946636364	NB	MF48
1.686272727	NB	MF48
1.361809917	NB	MF48
0.940842975	NB	MF48
0.30477686	NB	MF48
0.503520661	NB	MF48
0.798876033	NB	MF48
0.681504132	NB	MF48
1.276049587	B4	MF48
0.712090909	B4	MF48
2.990049587	B4	MF48
2.001024793	B4	MF48
3.078818182	B4	MF48
0.761049587	B4	MF48
2.586132231	B4	MF48
0.701264463	B4	MF48
2.545669421	B4	MF48
1.571553719	B4	MF48
2.782561983	CL11	MF48
2.921090909	CL11	MF48
1.595363636	CL11	MF48
3.761049587	CL11	MF48
2.745595041	CL11	MF48
3.372066116	CL11	MF48
3.274231405	CL11	MF48
3.179404959	CL11	MF48
3.07722314	CL11	MF48
3.214950413	CL11	MF48
2.349198347	CL14	MF48
0.78368595	CL14	MF48
2.174041322	CL14	MF48
2.72361157	CL14	MF48
2.483743802	CL14	MF48
1.884586777	CL14	MF48
0.899272727	CL14	MF48
1.909933884	CL14	MF48
1.358991736	CL14	MF48
2.457198347	CL14	MF48
3.278735537	OF79	MF48
4.496958678	OF79	MF48
2.813024793	OF79	MF48
2.816909091	OF79	MF48
2.60885124	OF79	MF48
3.008446281	OF79	MF48
2.882867769	OF79	MF48
2.825628099	OF79	MF48
1.622867769	OF79	MF48
2.654735537	OF79	MF48
3.870024793	PDC80	MF48
1.361809917	PDC80	MF48
3.538578512	PDC80	MF48
3.539041322	PDC80	MF48
3.420966942	PDC80	MF48
3.473595041	PDC80	MF48
2.415256198	PDC80	MF48
2.641528926	PDC80	MF48
4.430859504	PDC80	MF48
3.891570248	PDC80	MF48
2.557661157	YR216	MF48
0.817809917	YR216	MF48
2.530165289	YR216	MF48
1.402528926	YR216	MF48
2.717991736	YR216	MF48
1.522099174	YR216	MF48
1.855958678	YR216	MF48
2.188066116	YR216	MF48
2.71577686	YR216	MF48
2.151049587	YR216	MF48
0.725016529	Root219	MF48
0.694214876	Root219	MF48
1.51092562	Root219	MF48
0.337123967	Root219	MF48
1.136057851	Root219	MF48
0.796140496	Root219	MF48
1.190545455	Root219	MF48
0.761049587	Root219	MF48
0.836305785	Root219	MF48
1.118603306	Root219	MF48
1.925322314	YR266	MF48
2.744595041	YR266	MF48
3.537809917	YR266	MF48
2.033793388	YR266	MF48
2.448289256	YR266	MF48
2.223735537	YR266	MF48
1.789404959	YR266	MF48
2.155107438	YR266	MF48
2.646487603	YR266	MF48
2.948826446	YR266	MF48
4.431727273	CF313	MF48
4.330702479	CF313	MF48
1.164553719	CF313	MF48
3.983710744	CF313	MF48
2.702264463	CF313	MF48
4.462933884	CF313	MF48
4.397190083	CF313	MF48
4.133421488	CF313	MF48
4.067595041	CF313	MF48
3.702479339	CF313	MF48
0.827107438	Root318D1	MF48
1.919917355	Root318D1	MF48
2.448289256	Root318D1	MF48
1.655867769	Root318D1	MF48
2.352917355	Root318D1	MF48
3.149008264	Root318D1	MF48
2.32253719	Root318D1	MF48
2.658231405	Root318D1	MF48
2.529950413	Root318D1	MF48
2.745595041	Root318D1	MF48
1.068132231	Root411	MF48
3.37546281	Root411	MF48
2.777644628	Root411	MF48
3.011165289	Root411	MF48
5.392082645	Root411	MF48
1.559338843	Root411	MF48
3.012801653	Root411	MF48
1.517066116	Root411	MF48
0.963793388	Root411	MF48
1.55407438	Root411	MF48
1.855958678	Root473	MF48
2.081595041	Root473	MF48
1.739231405	Root473	MF48
2.059165289	Root473	MF48
1.888933884	Root473	MF48
2.515876033	Root473	MF48
2.418876033	Root473	MF48
1.851239669	Root473	MF48
2.026256198	Root473	MF48
1.960471074	Root473	MF48
1.917636364	OK605	MF48
2.632413223	OK605	MF48
1.884586777	OK605	MF48
2.885330579	OK605	MF48
1.472834711	OK605	MF48
3.296677686	OK605	MF48
2.81477686	OK605	MF48
3.206785124	OK605	MF48
0.71514876	OK605	MF48
2.606545455	OK605	MF48
2.616793388	YR750	MF48
2.678504132	YR750	MF48
3.506628099	YR750	MF48
1.636280992	YR750	MF48
2.669512397	YR750	MF48
3.008446281	YR750	MF48
2.711950413	YR750	MF48
2.152826446	YR750	MF48
2.070272727	YR750	MF48
1.520661157	YR750	MF48
