taxon_oid	Genome Name	Phylum	Class	Order	Family	Genus
2643221916	Burkholderia sp. Leaf177	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2738541298	Paraburkholderia sp. GV068	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2734482178	Variovorax sp. YR752	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2711768633	Burkholderia sp. CF099	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2738543013	Variovorax sp. BT01	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2609459724	Variovorax sp. OK605	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2582581311	Burkholderia sp. WP42	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2643221672	Variovorax sp. Root434	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2517572245	Variovorax paradoxus 4MFCol3.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2603880186	Variovorax sp. 770b2	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221652	Acidovorax sp. Root402	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2711768632	Burkholderia sp. OK233	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2687453794	Burkholderia sp. WP9	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2690315617	Variovorax sp. YR634	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2627853871	Variovorax paradoxus MEDvA23	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2546825545	Burkholderia MF384	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2615840602	Cupriavidus sp. OV096	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
2738541296	Paraburkholderia sp. GV073	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2546825544	Burkholderia MF376	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2687453686	Variovorax sp. YR750	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221792	Acidovorax sp. Leaf84	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2738541307	Variovorax sp. GV008	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2615840639	Burkholderia vietnamiensis WPB	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2706794494	Variovorax paradoxus H061	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2512047091	Variovorax sp. HW608	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221485	Variovorax sp. 160MFSha2.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2687453687	Variovorax sp. OV084	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320526	Variovorax sp. GV004	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2731957647	Variovorax boronicumulans NBRC 103145	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320434	Ralstonia sp. GV074	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
2802429317	Variovorax boronicumulans J1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2639762659	Ralstonia sp. 25MFCol4.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
2731957648	Variovorax paradoxus NBRC 15149	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221717	Acidovorax sp. Root267	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2687453681	Variovorax sp. PDC80	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221495	Variovorax paradoxus 295MFChir4.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2799112225	Variovorax sp. BK151	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320428	Paraburkholderia sp. OV446	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2757320433	Variovorax sp. GV014	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2738541306	Paraburkholderia sp. GV052	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2615840633	Burkholderia sp. YR520	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2687453288	Variovorax sp. PAMC 28711	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2546825543	Ralstonia CL21	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
2643221492	Variovorax sp. 278MFTsu5.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2703718748	Variovorax paradoxus H090	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2596583598	Ralstonia sp. UNCCL144	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
2546825541	Burkholderia CL11	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2546825540	Burkholderia cenocepacia7	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2690315647	Variovorax sp. YR216	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221498	Variovorax sp. 350MFTsu5.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2687453692	Variovorax sp. CF079	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2690315635	Variovorax sp. OK212	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2687453688	Variovorax sp. OV329	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2599185226	Variovorax sp. NFACC27	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2599185227	Variovorax sp. NFACC28	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2687453690	Variovorax sp. OK202	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2608642243	Variovorax sp. EL159	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221499	Variovorax paradoxus 369MFTsu5.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2703718751	Variovorax paradoxus H112	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320422	Variovorax sp. GV042	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2615840636	Burkholderia sp. YR281	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2643221788	Acidovorax sp. Leaf76	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2808606629	Variovorax sp. WDL1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2713897432	Burkholderia sp. CF145	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2703718750	Variovorax paradoxus H108	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320513	Paraburkholderia sp. PDC91	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2711768617	Burkholderia sp. YR277	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2773857784	Burkholderia cenocepacia VC2307 24_3	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2731957649	Variovorax soli NBRC 106424	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2737472017	Variovorax sp. 54	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320412	Variovorax sp. GV035	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2744054786	Variovorax paradoxus KB5	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2711768647	Burkholderia sp. YR290	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2643221925	Acidovorax sp. Leaf191	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2738543002	Paraburkholderia sp. GV072	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2643221789	Acidovorax sp. Leaf78	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2687453678	Variovorax sp. OV700	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2738543008	Paraburkholderia sp. GV060	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2703718747	Variovorax paradoxus H084	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2773857668	Burkholderia cenocepacia 28_4	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2687453812	Variovorax sp. YR266	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2671180696	Acidovorax sp. Root275	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2773857669	Burkholderia sp. 28_3	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2615840592	Cupriavidus sp. YR651	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
2546825542	Burkholderia cenocepacia6	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2799112243	Variovorax sp. BK119	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2711768613	Burkholderia sp. BT03	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2643221609	Acidovorax sp. Root217	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2615840645	Burkholderia sp. WP40	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2757320521	Paraburkholderia sp. OV555	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2599185229	Variovorax sp. NFACC29	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2519899633	Variovorax paradoxus 110B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221508	Variovorax paradoxus CL14	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2775506996	Variovorax sp. KK3	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2795386117	Variovorax sp. BK460	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2795386127	Variovorax sp. BK370	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2738543012	Acidovorax sp. CF301	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2703718749	Variovorax paradoxus H095	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221570	Acidovorax sp. Root568	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2599185200	Variovorax paradoxus TBEA6	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2521172625	Paraburkholderia caledonica 376MFSha3.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2643221683	Variovorax sp. Root473	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2556921005	Variovorax sp. URHB0020	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2609459743	Cupriavidus sp. OV038	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
2738543019	Variovorax sp. GV040	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221628	Variovorax sp. Root318D1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2511231001	Acidovorax sp. CF316	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2711768653	Burkholderia sp. OK806	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2816332132	Variovorax sp. T529 (v2)	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221611	Acidovorax sp. Root219	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2788500615	Variovorax sp. PMC12	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2528311013	Variovorax paradoxus B4	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2599185214	Variovorax sp. NFACC26	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221501	Variovorax sp. 375MFSha3.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2738541277	Variovorax sp. GV051	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2802428866	Variovorax sp. NP4	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2558309150	Ralstonia sp. UNC404CL21Col	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
2562617112	Burkholderia sp. BT03	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2643221658	Variovorax sp. Root411	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320445	Acidovorax sp. OV235	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2643221907	Acidovorax sp. Leaf160	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2513020051	Variovorax sp. CF313	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221596	Acidovorax sp. Root70	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2643221497	Variovorax paradoxus 349MFTsu5.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
